"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2"
11.00,78.57,0.00,67.46,300.00,98.07,0.00,7.88,110.91,19.29,3.81,0.00,0.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,0.00,45.00,175.00,31.51,3.89,6.76,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,43.90,0.00,0.00,0.00,5.67,75.75,72.88,66.88,47.28,40.04,23.90,30.70,30.70,87.54,0.00,110.50,110.76
12.00,78.57,0.00,67.46,400.00,130.76,0.00,7.88,110.91,19.29,3.81,0.00,0.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,0.00,45.00,175.00,31.51,3.89,6.76,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,43.90,0.00,0.00,0.00,5.67,75.75,72.88,66.88,47.28,40.04,23.90,30.70,30.70,87.54,0.00,110.50,110.76
13.00,78.57,0.00,67.46,500.00,163.45,0.00,7.88,110.91,19.29,3.81,0.00,0.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,0.00,45.00,175.00,31.51,3.89,6.76,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,43.90,0.00,0.00,0.00,5.67,75.75,72.88,66.88,47.28,40.04,23.90,30.70,30.70,87.54,0.00,110.50,110.76
14.00,78.57,0.00,67.46,500.00,163.45,0.00,7.88,110.91,19.29,3.81,0.00,0.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,0.00,45.00,175.00,31.51,3.89,6.76,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,43.90,0.00,0.00,0.00,5.67,75.75,72.88,66.88,47.28,40.04,23.90,30.70,30.70,87.54,0.00,110.50,110.76
15.00,78.57,0.00,67.46,600.00,196.14,0.00,7.88,110.91,19.29,3.81,0.00,0.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,0.00,47.27,175.00,31.51,3.89,6.76,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,43.39,0.00,0.00,0.00,5.67,75.75,67.02,66.88,47.28,40.04,30.82,30.70,30.70,87.54,0.00,20.51,110.76
16.00,78.57,0.00,67.46,646.80,211.44,0.00,7.88,110.91,19.29,3.81,0.00,0.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,0.00,47.27,175.00,31.51,3.89,6.76,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,43.39,0.00,0.00,0.00,5.67,75.75,67.02,66.88,47.28,40.04,30.82,30.70,30.70,87.54,0.00,20.51,110.76
17.00,78.57,0.00,67.46,646.80,211.44,0.00,7.88,110.91,19.29,3.81,0.00,0.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,0.00,47.27,175.00,31.51,3.89,6.76,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,43.39,0.00,0.00,0.00,5.67,75.75,67.02,66.88,47.28,40.04,30.82,30.70,30.70,87.54,0.00,20.51,110.76
18.00,78.57,0.00,67.46,646.80,211.44,0.00,7.88,110.91,19.29,3.81,0.00,0.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,0.00,47.27,175.00,31.51,3.89,6.76,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,43.39,0.00,0.00,0.00,5.67,75.75,67.02,66.88,47.28,40.04,30.82,30.70,30.70,87.54,0.00,20.51,110.76
19.00,78.57,0.00,67.46,646.80,211.44,0.00,7.88,110.91,19.29,3.81,0.00,0.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,0.00,47.27,175.00,31.51,3.89,6.76,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,52.17,0.00,0.00,0.00,5.67,75.75,58.24,66.88,47.28,40.04,30.82,30.70,30.70,87.54,0.00,20.51,110.76
20.00,78.57,0.00,67.46,646.80,211.44,0.00,7.88,110.91,19.29,3.81,0.00,0.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,0.00,47.27,175.00,31.51,3.89,6.76,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,52.17,0.00,0.00,0.00,5.67,75.75,58.24,66.88,47.28,40.04,30.82,30.70,30.70,87.54,0.00,20.51,110.76
21.00,78.57,0.00,67.46,646.80,211.44,0.00,7.88,110.91,19.29,3.81,0.00,0.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,0.00,47.27,175.00,31.51,3.89,6.76,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,221.46,67.83,67.42,68.21,43.00,0.00,0.00,0.00,5.67,75.75,58.24,66.88,47.28,40.04,23.90,30.70,30.70,87.54,0.00,20.51,110.76
22.00,78.57,0.00,67.46,646.80,211.44,0.00,7.88,110.91,19.29,3.81,0.00,0.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,0.00,47.27,175.00,31.51,3.89,6.76,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,221.46,67.83,67.42,68.21,43.00,0.00,0.00,0.00,5.67,75.75,58.24,66.88,47.28,40.04,23.90,30.70,30.70,87.54,0.00,20.51,110.76
23.00,78.57,0.00,67.46,646.80,211.44,0.00,7.88,110.91,19.29,3.81,0.00,0.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,0.00,47.27,175.00,31.51,3.89,6.76,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,221.46,67.83,67.42,68.21,43.00,0.00,0.00,0.00,5.67,75.75,58.24,66.88,47.28,40.04,23.90,30.70,30.70,87.54,0.00,20.51,110.76
24.00,78.57,0.00,67.46,646.80,211.44,0.00,7.88,110.91,19.29,3.81,0.00,0.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,0.00,47.27,175.00,31.51,3.89,6.76,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,221.46,67.83,67.42,68.21,43.00,0.00,0.00,0.00,5.67,75.75,58.24,66.88,47.28,40.04,23.90,30.70,30.70,87.54,0.00,20.51,110.76
