"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXP"
11.00,16.03,23.87,12.74,14.00,4.20,7.10,14.09,20.21,4.00,2.00,5.00,17.00,16.26,12.62,19.29,12.63,8.00,6.37,22.92,8.00,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,8.51,6.01,23.28,3.97,23.90,19.44,18.46,135.25,17.88,32.93,0.00,19.44,19.44,19.44,2.40,33.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,1.66,3.16,18.90,2.00,2.00,31.14,40.62,2.47,3.97,100.15,35.16,33.00,0.55,2.00,71.18,247.40,20.00,199.00,22.00,0.51,20.99,95.00
12.00,14.10,23.88,11.18,14.00,4.20,7.10,14.09,20.21,4.00,2.00,5.00,17.00,16.75,11.90,19.29,12.63,8.00,6.29,23.11,8.00,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,8.04,6.34,24.42,3.97,23.80,19.44,18.46,134.05,17.88,32.48,0.00,19.44,19.44,19.44,2.40,44.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,3.16,5.27,18.90,2.00,2.00,35.63,44.42,2.79,4.41,97.32,37.13,44.00,0.55,2.00,69.01,247.40,20.00,194.00,22.00,0.51,17.12,95.00
13.00,12.00,23.79,9.46,14.00,4.20,7.10,14.09,20.21,4.00,2.00,5.00,17.00,15.83,10.71,19.29,12.63,8.00,6.16,23.45,8.00,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,7.06,6.62,25.27,3.97,23.70,19.44,18.46,132.66,17.88,31.63,0.00,19.44,19.44,19.44,2.40,55.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,1.66,3.16,18.90,2.00,2.00,39.59,47.74,3.04,4.66,93.95,38.78,55.00,0.55,2.00,65.90,247.40,20.00,185.00,22.00,0.51,13.25,95.00
14.00,9.50,23.91,7.01,14.00,4.20,7.10,14.09,20.21,4.00,2.00,5.00,17.00,13.73,9.64,19.29,12.63,8.00,5.88,24.22,8.00,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,6.11,6.85,25.80,3.97,23.90,19.44,18.46,128.70,17.88,29.85,0.00,19.44,19.44,19.44,2.40,65.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.68,1.66,18.90,2.00,2.00,41.95,49.60,3.10,4.38,90.27,39.42,65.00,0.55,2.00,63.71,247.40,20.00,176.00,22.00,0.51,10.33,95.00
15.00,6.63,23.94,4.71,14.00,4.20,7.10,14.09,20.21,4.00,2.00,5.00,17.00,10.94,8.82,19.29,12.63,8.00,5.58,24.19,8.00,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,5.32,7.15,26.81,3.97,24.00,19.44,18.46,122.51,17.88,28.00,0.00,19.44,19.44,19.44,2.40,74.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.18,0.68,19.00,2.00,2.00,43.48,50.84,3.09,4.17,85.35,40.02,74.00,0.55,2.00,58.87,234.12,20.00,143.00,22.00,0.51,7.40,95.00
16.00,3.32,23.73,3.49,14.00,4.20,7.10,14.09,20.21,3.20,2.00,5.00,17.00,8.70,7.34,19.29,12.63,8.00,5.19,21.81,8.00,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,3.93,7.51,28.28,3.97,23.90,19.44,18.46,105.29,17.88,23.50,0.00,19.44,19.44,19.44,2.40,80.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.18,0.68,19.00,2.00,2.00,42.50,50.20,2.89,4.16,78.33,40.46,80.00,0.55,2.00,47.82,217.30,20.00,109.00,22.00,0.51,7.21,93.87
17.00,1.20,23.75,2.70,14.00,4.20,7.10,14.09,20.21,3.20,2.00,5.00,17.00,5.96,5.63,19.29,12.63,8.00,4.79,20.18,8.00,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,2.38,7.79,29.06,3.97,24.00,19.44,18.46,71.27,17.88,16.03,0.00,19.44,19.44,19.44,2.40,86.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.00,0.18,19.00,2.00,2.00,41.51,49.65,2.70,4.09,58.03,40.53,86.00,0.55,2.00,30.08,179.97,20.00,55.00,22.00,0.51,7.02,87.94
18.00,0.23,23.80,1.78,14.00,4.20,7.10,14.09,20.21,2.00,2.00,5.00,17.00,1.56,3.84,19.29,12.63,8.00,4.35,20.83,8.01,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,1.61,8.00,29.15,3.97,23.90,19.44,18.46,29.99,17.88,8.17,0.00,19.44,19.44,19.44,2.40,90.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.00,0.00,19.00,2.00,2.00,40.48,49.35,2.58,3.80,28.48,39.49,90.00,0.55,2.00,12.64,128.56,20.00,2.00,22.00,0.51,6.51,61.91
19.00,0.01,23.84,0.80,14.00,4.20,7.10,14.09,20.21,2.00,2.00,5.00,17.00,0.02,1.88,19.29,12.63,8.00,3.82,21.98,8.01,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,0.73,8.08,29.20,3.97,24.10,19.44,18.46,8.19,17.88,2.27,0.00,19.44,19.44,19.44,2.40,90.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.00,0.00,19.00,2.00,2.00,39.63,49.59,2.39,3.48,7.37,38.36,90.00,0.55,2.00,3.24,68.44,20.00,1.00,22.00,0.51,5.99,27.71
20.00,0.00,23.71,0.18,14.00,4.20,7.10,14.09,20.21,1.00,2.00,5.00,17.00,0.00,0.65,19.29,12.63,8.00,3.04,24.62,8.01,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,0.15,8.04,29.20,3.97,24.10,19.44,18.46,1.50,17.88,0.35,0.00,19.44,19.44,19.44,2.40,87.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.00,0.00,19.00,2.00,2.00,39.25,51.45,2.02,3.06,1.22,36.94,87.00,0.55,2.00,0.68,9.55,20.00,0.00,22.00,0.51,3.00,1.82
21.00,0.00,23.84,0.01,14.00,4.20,7.10,14.09,20.21,1.00,2.00,0.00,17.00,0.00,0.10,19.29,12.63,8.00,2.27,26.54,8.01,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,0.01,7.95,29.00,3.97,24.30,19.44,18.46,0.00,17.88,0.00,0.00,19.44,19.44,19.44,2.40,81.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.00,0.00,19.00,2.00,2.00,38.35,52.36,1.67,2.67,0.00,35.37,81.00,0.55,2.00,0.00,0.00,20.00,0.00,22.00,0.51,0.00,0.00
22.00,0.00,23.84,0.00,14.00,4.20,7.10,14.09,20.21,1.00,2.00,0.00,17.00,0.00,0.00,19.29,12.63,8.00,1.52,26.31,8.01,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,0.00,7.81,28.58,3.97,24.30,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,71.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.00,0.00,19.00,2.00,2.00,35.87,50.38,1.38,2.40,0.00,33.34,71.00,0.55,2.00,0.00,0.00,20.00,0.00,22.00,0.51,0.00,0.00
23.00,0.00,23.71,0.00,14.00,4.20,7.10,14.09,20.21,1.00,2.00,0.00,17.00,0.00,0.00,19.29,12.63,8.00,0.93,26.25,8.01,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,0.00,7.65,28.14,3.97,24.40,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,61.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.00,0.00,19.00,2.00,2.00,33.30,48.02,1.16,2.17,0.00,31.38,61.00,0.55,2.00,0.00,0.00,20.00,0.00,22.00,0.51,0.00,0.00
24.00,0.00,23.81,0.00,14.00,4.20,7.10,14.09,20.21,1.00,2.00,0.00,17.00,0.00,0.00,19.29,12.63,8.00,0.79,26.69,8.02,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,0.00,7.46,27.67,3.97,24.40,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,51.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.00,0.00,18.90,2.00,2.00,30.42,44.52,1.12,2.09,0.00,29.65,51.00,0.55,2.00,0.00,0.00,20.00,0.00,22.00,0.51,0.00,0.00
25.00,0.00,23.84,0.00,14.00,4.20,7.10,14.09,20.21,1.00,2.00,0.00,17.00,0.00,0.00,19.29,12.63,8.00,0.72,26.92,8.03,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,0.00,7.23,26.28,3.97,24.40,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,42.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.00,0.00,18.90,2.00,2.00,27.91,41.49,1.06,1.96,0.00,28.02,42.00,0.55,2.00,0.00,0.00,20.00,0.00,22.00,0.51,0.00,0.00
26.00,0.00,23.90,0.00,14.00,4.20,7.10,14.09,20.21,1.00,2.00,0.00,17.00,0.00,0.00,19.29,12.63,8.00,0.90,26.52,8.02,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,0.00,6.95,23.97,3.97,24.60,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,33.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.00,0.00,18.90,2.00,2.00,26.49,39.87,0.94,1.65,0.00,26.69,33.00,0.55,2.00,0.00,0.00,20.00,0.00,22.00,0.51,0.00,0.00
27.00,0.00,23.70,0.00,14.00,4.20,7.10,14.09,20.21,1.00,2.00,0.00,17.00,0.00,0.00,19.29,12.63,8.00,1.07,25.64,8.02,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,0.00,6.67,22.23,3.97,24.70,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,26.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.00,0.00,18.90,2.00,2.00,24.94,37.90,0.85,1.35,0.00,25.25,26.00,0.55,2.00,0.00,0.00,20.00,0.00,22.00,0.51,0.00,0.00
28.00,0.00,23.93,0.00,14.00,4.20,7.10,14.09,20.21,1.00,2.00,0.00,17.00,0.00,0.00,19.29,12.63,8.00,1.22,23.36,8.00,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,0.00,6.40,21.05,3.97,24.80,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,20.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.00,0.00,18.90,2.00,2.00,23.01,34.88,0.80,1.08,0.00,23.50,20.00,0.55,2.00,0.00,0.00,20.00,0.00,22.00,0.51,0.00,0.00
29.00,0.00,23.76,0.00,14.00,4.20,7.10,14.09,20.21,1.00,2.00,0.00,17.00,0.00,0.00,19.29,12.63,8.00,1.32,21.41,8.01,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,0.00,6.07,19.68,3.97,24.30,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,16.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.00,0.00,18.90,2.00,2.00,21.06,31.99,0.77,0.84,0.00,22.64,16.00,0.55,2.00,0.00,0.00,20.00,0.00,22.00,0.51,0.00,0.00
30.00,0.00,23.93,0.00,14.00,4.20,7.10,14.09,20.21,1.00,2.00,0.00,17.00,0.00,0.00,19.29,12.63,8.00,1.24,20.45,8.01,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,0.00,5.68,18.12,3.97,24.20,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,13.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.00,0.18,18.90,2.00,2.00,19.08,29.48,0.80,0.73,0.00,24.45,13.00,0.55,2.00,0.00,0.00,20.00,0.00,22.00,0.51,0.00,0.00
31.00,0.00,23.96,0.00,14.00,4.20,7.10,14.09,20.21,1.00,2.00,0.00,17.00,0.00,0.00,19.29,12.63,8.00,1.21,19.45,8.00,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,0.00,5.29,16.66,3.97,24.20,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,11.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.00,0.18,18.90,2.00,2.00,16.84,26.64,0.78,0.62,0.00,26.10,11.00,0.55,2.00,0.00,0.00,20.00,0.00,22.00,0.51,0.00,0.00
32.00,0.00,23.84,0.00,14.00,4.20,7.10,14.09,20.21,1.00,2.00,0.00,17.00,0.00,0.00,19.29,12.63,8.00,1.27,18.32,8.00,10.98,13.80,4.90,19.24,19.24,19.44,19.86,0.00,0.00,4.90,15.29,3.97,24.20,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,8.00,12.83,19.44,8.00,10.80,8.12,19.44,2.40,0.18,0.68,18.90,2.00,2.00,13.83,22.80,0.61,0.54,0.00,27.25,8.00,0.55,2.00,0.00,0.00,20.00,0.00,22.00,0.51,0.00,0.00
