"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
1.00,0.00,24.09,0.00,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,0.06,0.09,17.49,0.00,9.00,9.47,22.31,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.09,20.80,60.11,3.50,25.20,19.44,18.17,0.00,0.00,0.00,0.60,19.44,19.44,19.44,1.20,50.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,1.06,0.55,18.90,0.00,0.00,0.00,1.00,67.12,92.00,1.84,2.38,0.00,92.00,60.00,0.00,2.00,0.06,0.00,11.00,0.20,22.00,0.00,0.65
2.00,0.08,24.05,0.00,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,1.30,1.26,17.49,0.00,9.00,10.35,21.24,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,1.14,20.56,59.03,3.50,25.30,19.44,18.17,2.51,0.00,0.60,0.60,19.44,19.44,19.44,1.20,50.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,0.89,0.47,18.90,0.00,0.00,0.00,1.00,66.47,91.00,1.77,2.33,2.21,92.00,57.00,0.00,2.00,1.13,1.72,11.00,4.27,22.00,0.00,1.30
3.00,0.87,24.12,0.21,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,4.46,3.64,17.49,0.00,9.00,11.37,20.63,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,3.29,20.47,57.94,3.50,25.20,19.44,18.17,10.11,0.00,2.59,0.60,19.44,19.44,19.44,1.20,50.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,0.73,0.41,18.90,0.00,0.00,0.00,1.00,66.36,90.00,1.84,2.51,9.44,92.00,54.00,0.00,2.00,4.35,9.91,11.00,11.46,22.00,0.01,1.96
4.00,1.56,24.06,0.67,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,7.77,5.81,17.49,0.00,9.00,12.79,21.39,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,5.07,20.53,56.84,3.50,25.30,19.44,18.17,24.63,0.00,8.41,0.60,19.44,19.44,19.44,1.20,50.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,0.60,0.40,18.90,0.00,0.00,0.00,1.00,67.89,87.00,2.32,3.42,19.90,91.00,50.00,0.00,2.00,9.10,26.85,11.00,20.56,22.00,0.03,2.61
5.00,2.57,24.02,1.54,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,11.72,7.15,17.49,0.00,9.00,13.77,22.16,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,6.52,20.24,56.12,3.50,25.20,19.44,18.17,40.21,0.00,13.66,0.60,19.44,19.44,19.44,1.20,50.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,0.53,0.43,18.90,0.00,0.00,0.00,1.00,68.42,85.00,2.63,4.09,30.44,90.00,48.00,0.00,2.00,14.61,58.06,11.00,30.35,22.00,0.07,3.91
6.00,3.75,24.01,3.11,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,14.43,8.29,17.49,0.00,9.00,13.44,22.95,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,7.63,19.62,55.76,3.50,25.20,19.44,18.17,51.44,0.00,15.52,0.60,19.44,19.44,19.44,1.20,50.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,0.64,0.58,18.90,0.00,0.00,0.00,1.00,65.93,83.00,2.47,4.07,39.82,88.00,45.00,0.00,2.00,23.87,93.35,11.00,44.44,22.00,0.12,5.22
7.00,4.97,24.17,4.83,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,15.82,9.70,17.49,0.00,9.00,13.37,23.34,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,8.76,19.25,55.93,3.50,25.20,19.44,18.17,69.08,0.00,21.05,0.60,19.44,19.44,19.44,1.20,50.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,0.72,0.68,18.90,0.00,0.00,0.00,1.00,64.14,80.00,2.40,4.17,54.00,87.00,45.00,0.10,2.00,43.72,132.31,11.00,69.64,22.00,0.18,6.52
8.00,6.81,23.97,6.84,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,16.57,11.17,17.49,0.00,9.00,14.08,22.58,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,10.35,19.14,56.64,3.50,25.00,19.44,18.17,84.62,0.00,22.22,0.60,19.44,19.44,19.44,1.20,50.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,0.75,0.64,18.90,0.00,0.00,0.00,1.00,64.39,81.00,2.59,4.64,67.03,86.00,45.00,0.20,2.00,44.54,166.53,11.00,96.69,22.00,0.23,7.83
9.00,8.47,23.90,8.76,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,16.70,12.94,17.49,0.00,9.00,14.41,23.19,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,12.13,19.47,58.75,3.50,25.30,19.44,18.17,95.81,0.00,28.30,0.60,19.44,19.44,19.44,1.20,50.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,0.79,0.63,18.90,0.00,0.00,0.00,1.00,65.46,79.21,2.88,5.19,75.12,88.86,48.00,0.20,2.00,51.02,180.08,11.00,118.61,22.00,0.28,9.13
10.00,9.57,24.09,9.76,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,16.84,14.03,17.49,0.00,9.00,13.64,27.91,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,12.93,20.24,62.27,3.50,25.10,19.44,18.17,103.85,0.00,27.93,0.60,19.44,19.44,19.44,1.20,50.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,0.89,0.67,18.90,0.00,0.00,0.00,1.00,68.99,81.21,3.46,5.99,81.21,92.27,50.00,0.30,2.00,51.38,189.22,11.00,129.03,22.00,0.30,10.44
11.00,11.09,23.93,8.54,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,17.18,14.57,17.49,0.00,9.00,12.84,33.68,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,13.07,21.01,66.24,3.50,24.80,19.44,18.17,104.84,0.00,25.11,0.60,19.44,19.44,19.44,1.20,54.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,1.05,0.75,18.90,0.00,0.00,0.00,1.00,73.09,83.55,3.99,6.79,81.72,95.67,54.00,0.30,2.00,57.69,192.67,11.00,121.93,22.00,0.32,11.74
12.00,12.47,23.94,8.56,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,17.14,15.03,17.49,0.00,9.00,11.95,42.60,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,13.00,21.78,70.66,3.50,24.60,19.44,18.17,102.52,0.00,26.84,0.60,19.44,19.44,19.44,1.20,59.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,1.40,0.96,18.90,0.00,0.00,0.00,1.00,78.93,86.89,4.34,7.56,79.62,98.09,59.00,0.30,2.00,55.47,189.94,11.00,116.37,22.00,0.32,13.05
13.00,11.32,23.85,8.12,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,16.17,15.13,17.49,0.00,9.00,11.35,51.29,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,12.32,22.50,74.46,3.50,24.50,19.44,18.17,88.38,0.00,24.28,0.60,19.44,19.44,19.44,1.20,63.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,1.81,1.29,18.90,0.00,0.00,0.00,1.00,84.88,90.42,4.71,8.29,71.07,100.51,63.00,0.40,2.00,45.67,166.21,11.00,91.53,22.00,0.33,13.05
