"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
11.00,0.19,0.00,0.10,0.00,0.00,7.50,4.50,10.11,1.90,0.00,3.50,0.00,0.00,0.02,6.00,5.80,25.00,39.98,0.00,4.50,0.00,2.50,18.08,17.30,7.00,10.69,0.00,0.01,26.00,75.10,2.60,28.12,0.00,18.27,1.00,7.50,0.20,0.60,8.00,8.00,8.00,0.00,111.30,9.00,9.00,3.00,10.80,0.00,9.00,1.10,12.57,11.53,19.00,0.11,1.16,110.82,106.40,7.80,8.31,0.72,97.50,86.70,0.00,1.72,0.81,0.38,6.00,0.33,13.50,0.00,0.75,0.00
12.00,0.00,0.00,0.00,0.00,0.00,7.50,4.50,10.11,1.90,0.00,3.50,0.00,0.00,0.00,6.00,5.80,25.20,38.44,0.00,4.50,15.55,2.50,18.08,17.30,7.00,10.69,0.00,0.00,25.70,74.50,2.60,28.12,0.00,18.27,0.00,7.50,0.09,0.60,8.00,8.00,8.00,0.00,109.10,9.00,9.00,3.00,10.80,0.00,9.00,1.10,12.31,11.50,19.00,0.05,1.16,112.91,104.20,7.80,8.21,0.00,96.60,82.10,0.00,1.76,0.00,0.00,6.00,0.00,13.50,0.00,0.37,0.00
13.00,0.00,0.00,0.00,0.00,0.00,7.50,4.50,10.11,1.90,0.40,3.50,0.00,0.00,0.00,6.00,5.80,23.60,35.20,0.00,4.50,15.55,2.50,18.08,17.30,7.00,10.69,0.00,0.00,25.30,72.70,2.60,28.12,0.00,18.27,0.00,7.50,0.00,0.60,8.00,8.00,8.00,0.00,105.00,9.00,9.00,3.00,10.80,0.00,9.00,1.10,11.47,11.73,19.00,0.00,1.16,113.05,101.90,7.41,7.57,0.00,95.40,79.80,0.00,1.80,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
14.00,0.00,0.00,0.00,0.00,0.00,7.50,4.50,10.11,1.90,0.40,3.50,0.00,0.00,0.00,6.00,5.80,22.00,34.59,0.00,4.50,15.55,2.50,18.08,17.30,7.00,10.69,0.00,0.00,24.90,70.90,2.60,28.12,0.00,18.27,0.00,7.50,0.00,0.60,8.00,8.00,8.00,0.00,101.00,9.00,9.00,3.00,10.80,0.00,9.00,1.10,10.63,11.96,19.00,0.00,1.16,113.18,99.70,7.41,7.48,0.00,94.20,77.50,0.00,1.80,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
15.00,0.00,0.00,0.00,0.00,0.00,7.50,4.50,10.11,1.90,0.40,3.50,0.00,0.00,0.00,6.00,5.80,20.50,29.73,0.00,4.50,15.55,2.50,18.08,17.30,7.00,10.69,0.00,0.00,25.10,70.80,2.60,28.12,0.00,18.27,0.00,7.50,0.00,0.60,8.00,8.00,8.00,0.00,91.10,9.00,9.00,3.00,10.80,0.00,9.00,1.10,10.73,12.29,19.00,0.00,1.16,113.31,97.60,6.32,6.32,0.00,94.10,81.40,0.00,1.80,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
16.00,0.00,0.00,0.00,0.00,0.00,7.50,4.50,10.11,1.90,0.40,3.50,0.00,0.00,0.00,6.00,5.80,19.10,29.11,0.00,4.50,15.55,2.50,18.08,17.30,7.00,10.69,0.00,0.00,25.20,70.60,2.60,28.12,0.00,18.27,0.00,7.50,0.00,0.60,8.00,8.00,8.00,0.00,81.20,9.00,9.00,3.00,10.80,0.00,9.00,1.10,10.84,12.62,19.00,0.00,1.16,113.45,95.60,6.32,6.29,0.00,94.00,85.40,0.00,1.92,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
17.00,0.00,0.00,0.00,0.00,0.00,7.50,4.50,10.11,1.90,0.40,3.50,0.00,0.00,0.00,6.00,5.80,17.20,23.94,0.00,4.50,15.55,2.50,18.08,17.30,7.00,10.69,0.00,0.00,25.30,69.80,2.60,28.12,0.00,18.27,0.00,7.50,0.00,0.60,8.00,8.00,8.00,0.00,76.50,9.00,9.00,3.00,10.80,0.00,9.00,1.10,11.52,12.81,19.00,0.00,1.16,113.58,93.70,5.38,5.74,0.00,94.30,85.90,0.00,1.92,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
18.00,0.00,0.00,0.00,0.00,0.00,7.50,4.50,10.11,1.90,0.40,3.50,0.00,0.00,0.00,6.00,5.80,15.20,23.36,0.00,4.50,15.55,2.50,18.08,17.30,7.00,10.69,0.00,0.00,25.40,69.10,2.60,28.12,0.00,18.27,0.00,7.50,0.00,0.60,8.00,8.00,8.00,0.00,71.70,9.00,9.00,3.00,10.80,0.00,9.00,1.10,12.19,13.01,19.00,0.00,1.15,113.71,91.80,5.38,5.71,0.00,94.60,86.40,0.00,1.92,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
19.00,0.00,0.00,0.00,0.00,0.00,7.50,4.50,10.11,1.90,0.40,3.50,0.00,0.00,0.00,6.00,5.80,14.20,17.64,0.00,4.50,0.00,2.50,18.08,17.30,7.00,10.69,0.00,0.00,25.70,71.20,2.60,28.12,0.00,18.27,0.00,7.50,0.00,0.60,8.00,8.00,8.00,0.00,75.50,9.00,9.00,3.00,10.80,0.00,9.00,1.10,13.28,13.14,19.00,0.00,1.15,113.85,90.00,5.02,5.20,0.00,95.20,85.50,0.00,1.92,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
20.00,0.00,0.00,0.00,0.00,0.00,7.50,4.50,10.11,1.90,0.40,3.50,0.00,0.00,0.00,6.00,5.80,13.20,17.76,0.00,4.50,0.00,2.50,18.08,17.30,7.00,10.69,0.00,0.00,25.90,73.40,2.60,28.12,0.00,18.27,0.00,7.50,0.00,0.60,8.00,8.00,8.00,0.00,79.30,9.00,9.00,3.00,10.80,0.00,9.00,1.10,14.36,13.27,19.00,0.00,1.15,113.98,88.20,5.02,5.20,0.00,95.80,84.60,0.00,1.88,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
21.00,0.00,0.00,0.00,0.00,0.00,7.50,4.50,10.11,1.90,0.40,3.50,0.00,0.00,0.00,6.00,5.80,12.70,16.11,0.00,4.50,0.00,2.50,18.08,17.30,7.00,10.69,0.00,0.00,26.00,73.20,2.60,28.12,0.00,18.27,0.00,7.50,0.00,0.60,8.00,8.00,8.00,0.00,75.30,9.00,9.00,3.00,10.80,0.00,9.00,1.10,14.38,13.26,19.00,0.00,1.15,114.12,86.70,2.25,3.52,0.00,96.10,81.30,0.00,1.88,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
22.00,0.00,0.00,0.00,0.00,0.00,7.50,4.50,10.11,1.90,0.40,3.50,0.00,0.00,0.00,6.00,5.80,12.20,15.89,0.00,4.50,0.00,2.50,18.08,17.30,7.00,10.69,0.00,0.00,26.10,72.90,2.60,28.12,0.00,18.27,0.00,7.50,0.00,0.60,8.00,8.00,8.00,0.00,71.20,9.00,9.00,3.00,10.80,0.00,9.00,1.10,14.40,13.24,19.00,0.00,1.15,114.25,85.10,2.26,3.44,0.00,96.40,78.00,0.00,1.84,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
23.00,0.00,0.00,0.00,0.00,0.00,7.50,4.50,10.11,1.90,0.40,3.50,0.00,0.00,0.00,6.00,5.80,11.30,13.14,0.00,4.50,0.00,2.50,18.08,17.30,7.00,10.69,0.00,0.00,25.90,73.20,2.60,28.12,0.00,18.27,0.00,7.50,0.00,0.60,8.00,8.00,8.00,0.00,68.20,9.00,9.00,3.00,10.80,0.00,9.00,1.10,14.36,13.19,19.00,0.00,1.15,114.38,83.50,1.37,3.01,0.00,96.20,73.20,0.00,1.84,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
24.00,0.00,0.00,0.00,0.00,0.00,7.50,4.50,10.11,1.90,0.40,3.50,0.00,0.00,0.00,6.00,5.80,10.30,11.46,0.00,4.50,0.00,2.50,18.08,17.30,7.00,10.69,0.00,0.00,25.80,73.40,2.60,28.12,0.00,18.27,0.00,7.50,0.00,0.60,8.00,8.00,8.00,0.00,65.20,9.00,9.00,3.00,10.80,0.00,9.00,1.10,14.33,13.13,19.00,0.00,1.15,114.52,81.50,1.46,2.92,0.00,96.10,68.40,0.00,1.80,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
