"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CS INTIPAMPA EXPANSION"
1.00,0.00,16.96,0.00,16.00,2.90,7.90,5.80,7.30,1.70,0.00,2.50,0.00,0.00,0.00,15.00,0.00,4.20,17.10,71.78,8.10,0.00,15.41,3.60,18.15,15.41,15.61,18.54,1.40,0.00,21.30,63.10,2.25,27.00,17.56,18.05,0.00,0.00,0.00,0.60,19.51,19.51,19.51,1.20,83.50,9.00,17.56,6.00,10.80,8.30,7.50,2.40,1.60,1.20,18.00,0.00,0.00,80.80,94.00,5.60,3.04,0.00,88.00,75.90,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00
2.00,0.00,16.35,0.00,16.00,2.90,7.90,5.80,7.30,1.70,0.00,2.50,0.00,0.00,0.00,15.00,0.00,4.20,16.20,70.25,8.10,0.00,15.41,3.60,18.15,15.41,15.61,18.54,1.40,0.00,21.00,60.50,2.25,27.00,17.56,18.05,0.00,0.00,0.00,0.60,19.51,19.51,19.51,1.20,72.20,9.00,17.56,6.00,10.80,8.30,7.50,2.40,1.40,1.50,18.00,0.00,0.00,78.10,93.00,5.20,2.89,0.00,84.50,62.80,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00
3.00,0.00,16.74,0.00,16.00,2.90,7.90,5.80,7.30,1.70,0.00,2.50,0.00,0.00,0.00,15.00,0.00,4.20,15.30,67.80,8.10,0.00,15.41,3.60,18.15,15.41,15.61,18.54,1.40,0.00,20.70,58.00,2.25,27.00,17.56,18.05,0.00,0.00,0.00,0.60,19.51,19.51,19.51,1.20,62.90,9.00,17.56,6.00,10.80,8.30,7.50,2.40,1.20,1.90,18.00,0.00,0.00,75.60,92.00,4.90,2.65,0.00,80.90,50.60,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00
4.00,0.00,17.22,0.00,16.00,2.90,7.90,5.80,7.30,1.70,0.00,2.50,0.00,0.00,0.00,15.00,0.00,4.20,14.50,65.03,8.10,0.00,15.41,3.60,18.15,15.41,15.61,18.54,1.40,0.00,20.40,56.00,2.25,27.00,17.56,18.05,0.00,0.00,0.00,0.60,19.51,19.51,19.51,1.20,55.40,9.00,17.56,6.00,10.80,8.30,7.50,2.40,1.30,2.30,18.00,0.00,0.00,71.70,90.50,4.50,2.37,0.00,78.30,42.60,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00
5.00,0.00,17.40,0.00,16.00,2.90,7.90,5.80,7.30,1.70,0.00,2.50,0.00,0.00,0.00,15.00,0.00,4.20,13.80,61.94,8.10,0.00,15.41,3.60,18.15,15.41,15.61,18.54,1.40,0.00,20.00,54.20,2.25,27.00,17.56,18.05,0.00,0.00,0.00,0.60,19.51,19.51,19.51,1.20,48.50,9.00,17.56,6.00,10.80,8.30,7.50,2.40,1.30,2.70,18.00,0.00,0.00,67.40,88.70,4.20,2.16,0.00,76.00,36.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00
6.00,0.00,17.57,0.00,16.00,2.90,7.90,5.80,7.30,1.70,0.00,2.50,0.00,0.00,0.00,15.00,0.00,4.20,13.90,58.75,8.10,0.00,15.41,3.60,18.15,15.41,15.61,18.54,1.40,0.00,19.10,50.60,2.25,27.00,17.56,18.05,0.00,0.00,0.00,0.60,19.51,19.51,19.51,1.20,42.20,9.00,17.56,6.00,10.80,8.30,7.50,2.40,1.20,2.40,18.00,0.00,0.00,61.10,84.60,3.80,1.97,0.00,73.70,31.70,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00
7.00,0.00,17.91,0.00,16.00,2.90,7.90,5.80,7.30,1.70,0.00,2.50,0.00,0.00,0.00,15.00,0.00,4.20,14.20,54.21,8.00,0.00,15.41,3.60,18.15,15.41,15.61,18.54,1.40,0.00,18.00,46.30,2.25,27.00,17.56,18.05,0.00,0.00,0.00,0.60,19.51,19.51,19.51,1.20,36.10,9.00,17.56,6.00,10.80,8.30,7.50,2.40,0.90,1.80,18.00,0.00,0.00,54.20,79.60,3.30,1.65,0.00,71.30,28.30,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00
8.00,0.00,18.04,0.00,16.00,2.90,7.90,5.80,7.30,1.70,0.00,2.50,0.00,0.00,0.00,15.00,0.00,4.20,15.40,49.21,8.00,0.00,4.80,3.60,18.15,15.41,15.61,18.54,1.40,0.00,17.10,43.00,2.25,27.00,17.56,18.05,0.00,0.00,0.00,0.60,19.51,19.51,19.51,1.20,30.20,9.00,17.56,6.00,10.80,8.30,7.50,2.40,0.90,1.50,18.00,0.00,0.00,48.40,74.20,2.90,1.29,0.00,69.50,23.80,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00
9.00,0.00,18.23,0.00,16.00,2.90,7.90,5.80,7.30,1.70,0.00,2.50,0.00,0.00,0.00,15.00,0.00,4.20,16.90,45.80,0.00,0.00,4.80,3.60,18.15,15.41,15.61,18.54,1.40,0.00,16.30,40.20,2.25,27.00,17.56,18.05,0.00,0.00,0.00,0.60,19.51,19.51,19.51,1.20,24.20,9.00,17.56,6.00,10.80,8.30,7.50,2.40,0.90,1.30,18.00,0.00,0.00,42.90,68.70,2.50,1.05,0.00,68.00,18.90,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00
10.00,0.00,18.17,0.00,16.00,2.90,7.90,5.80,7.30,1.70,0.00,2.50,0.00,0.00,0.00,15.00,0.00,4.20,18.30,42.91,0.00,0.00,4.80,3.60,18.15,15.41,15.61,18.54,1.40,0.00,15.40,37.70,2.25,27.00,17.56,18.05,0.00,0.00,0.00,0.60,19.51,19.51,19.51,1.20,20.10,9.00,17.56,6.00,10.80,8.30,7.50,2.40,0.90,1.00,18.00,0.00,0.00,37.70,63.50,2.10,0.85,0.00,65.30,16.20,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00
