"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2"
1.00,45.04,0.00,50.60,592.63,193.73,0.00,8.37,110.91,19.29,1.59,41.50,10.00,142.55,8.91,3.85,2.11,164.71,112.91,88.82,44.28,45.03,227.01,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,0.00,0.00,0.00,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
2.00,45.04,0.00,50.60,592.63,193.73,0.00,8.37,110.91,19.29,1.59,41.50,10.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,44.28,45.03,227.01,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,0.00,0.00,0.00,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
3.00,45.04,0.00,50.60,592.63,193.73,0.00,8.37,110.91,19.29,1.59,41.50,10.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,44.28,45.03,227.01,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,0.00,0.00,0.00,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
4.00,45.04,0.00,50.60,592.63,193.73,0.00,8.37,110.91,19.29,1.59,41.50,10.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,44.28,45.03,227.01,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,0.00,0.00,0.00,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
5.00,45.04,0.00,50.60,592.63,193.73,0.00,8.37,110.91,19.29,1.59,41.50,10.00,143.00,8.91,3.85,2.11,164.71,112.91,88.82,44.28,45.03,227.01,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,0.00,0.00,0.00,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
6.00,45.04,0.00,50.60,592.63,193.73,0.00,8.37,110.91,19.29,1.59,41.50,10.00,142.91,8.91,3.85,2.11,164.71,112.91,88.82,44.28,45.03,227.01,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,0.00,0.00,0.00,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
7.00,45.04,0.00,50.60,592.63,193.73,0.00,8.37,110.91,19.29,1.59,41.50,10.00,142.91,8.91,3.85,2.11,164.71,112.91,88.82,44.28,45.03,227.01,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,0.00,0.00,0.00,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
8.00,45.04,0.00,50.60,592.63,193.73,0.00,8.37,110.91,19.29,1.59,41.50,10.00,142.91,8.91,3.85,2.11,164.71,112.91,88.82,44.28,45.03,227.01,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,0.00,0.00,0.00,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
9.00,45.04,0.00,50.60,592.63,193.73,0.00,8.37,110.91,19.29,1.59,41.50,10.00,142.91,8.91,3.85,2.11,164.71,112.91,88.82,44.28,45.03,227.01,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,0.00,0.00,0.00,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
10.00,45.04,0.00,50.60,592.63,193.73,0.00,8.37,110.91,19.29,1.59,41.50,10.00,142.91,8.91,3.85,2.11,164.71,112.91,88.82,44.28,45.03,227.01,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,0.00,0.00,0.00,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
