"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
11.00,16.79,11.73,16.51,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.95,16.99,17.56,0.00,7.80,10.51,58.74,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.98,24.11,82.18,3.20,0.00,19.51,19.32,132.71,9.20,34.46,0.60,20.00,19.51,19.51,2.40,95.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,5.45,6.68,9.00,1.02,1.00,61.03,66.11,8.30,6.64,95.82,101.00,110.08,0.30,2.00,72.36,41.66
12.00,15.65,11.56,15.48,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.84,16.93,17.56,0.00,7.80,11.04,58.56,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.90,24.62,83.55,3.20,0.00,19.51,19.32,132.27,9.20,34.46,0.60,20.00,19.51,19.51,2.40,103.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,5.57,6.48,9.00,0.87,1.00,65.07,69.71,8.80,7.08,95.29,104.50,120.74,0.20,2.00,71.13,40.18
13.00,14.07,11.56,13.97,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.64,16.83,17.56,0.00,7.80,11.19,60.07,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.72,25.13,84.49,3.20,0.00,19.51,19.32,129.06,9.20,34.40,0.60,20.00,19.51,19.51,2.40,108.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,4.98,5.34,9.00,0.84,1.00,67.92,71.15,8.95,7.38,93.20,107.00,126.40,0.20,2.00,68.17,37.50
14.00,12.24,11.71,12.33,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.13,16.60,17.56,0.00,7.80,11.20,62.15,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.35,25.63,85.29,3.20,0.00,19.51,19.32,124.98,9.20,34.17,0.60,20.00,19.51,19.51,2.40,113.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,4.14,3.90,9.00,0.79,1.00,70.31,73.00,8.88,7.55,89.76,109.20,131.49,0.10,2.00,63.86,33.62
15.00,10.02,11.67,10.14,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,16.11,15.90,17.56,0.00,7.80,11.34,64.17,7.20,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,12.86,26.04,85.67,3.20,0.00,19.51,19.32,113.82,9.20,32.69,0.60,20.00,19.51,19.51,2.40,117.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,3.70,3.03,9.00,0.66,1.00,70.82,75.69,6.22,5.84,82.85,111.10,134.90,0.10,2.00,56.61,29.23
16.00,7.50,11.90,7.71,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,14.05,14.45,17.56,0.00,7.80,11.53,66.18,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,11.69,26.37,85.84,3.20,0.00,19.51,19.32,91.25,9.20,28.02,0.60,20.00,19.51,19.51,2.40,120.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,3.39,2.34,9.00,0.48,1.00,72.87,79.59,7.79,6.69,71.49,112.30,137.72,0.10,2.00,40.81,24.35
17.00,4.77,11.72,5.13,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,7.64,9.78,17.56,0.00,7.80,11.55,66.53,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,7.85,26.64,85.40,3.20,0.00,19.51,19.32,56.30,9.20,18.05,0.60,20.00,19.51,19.51,2.40,121.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,3.57,2.29,9.00,0.41,1.00,73.81,82.42,8.27,7.42,49.12,113.20,138.81,0.10,2.00,19.12,18.30
18.00,2.35,11.78,2.53,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,1.12,2.92,17.56,0.00,7.80,11.51,66.31,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,1.87,26.86,84.65,3.20,0.00,19.51,19.32,20.11,9.20,7.24,0.60,20.00,19.51,19.51,2.40,122.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,3.92,2.44,9.00,0.28,1.00,74.24,84.37,7.37,6.81,19.44,113.20,138.51,0.10,2.00,5.90,11.25
19.00,0.48,23.33,0.58,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.13,17.56,0.00,7.80,11.36,65.86,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,27.02,82.99,3.20,0.00,19.51,19.32,1.35,9.20,0.51,0.60,20.00,19.51,19.51,2.40,121.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,3.71,2.34,9.00,0.10,1.00,73.69,84.20,6.60,6.09,1.68,112.80,134.04,0.00,2.00,0.53,5.54
20.00,0.00,23.38,0.00,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,11.17,65.33,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,27.11,81.19,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,120.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,3.31,2.15,9.00,0.05,1.00,72.55,83.80,5.86,5.33,0.00,111.50,128.84,0.00,2.00,0.00,1.41
21.00,0.00,23.43,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,10.79,62.18,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,27.34,78.98,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,116.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,2.87,1.88,9.00,0.00,1.00,69.66,82.67,5.52,5.03,0.00,110.00,121.42,0.00,2.00,0.00,0.00
22.00,0.00,23.48,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,10.34,58.16,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,27.72,76.85,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,112.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,2.43,1.58,9.00,0.00,1.00,67.29,81.55,5.30,4.89,0.00,109.90,113.02,0.00,2.00,0.00,0.00
23.00,0.00,23.75,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,10.05,51.48,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.00,74.94,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,106.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,2.14,1.22,9.00,0.00,1.00,66.48,80.46,5.24,4.74,0.00,110.20,101.70,0.00,2.00,0.00,0.00
24.00,0.00,23.74,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.81,43.91,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.20,73.01,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,99.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.90,0.85,9.00,0.00,1.00,65.76,79.60,5.23,4.58,0.00,108.90,90.52,0.00,2.00,0.00,0.00
25.00,0.00,23.79,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.57,38.76,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.38,71.01,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,92.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.58,0.68,9.00,0.00,1.00,65.31,79.45,5.25,4.58,0.00,107.00,79.76,0.00,2.00,0.00,0.00
26.00,0.00,23.64,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.33,34.42,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.55,69.22,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,85.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.24,0.59,9.00,0.00,1.00,64.90,79.35,5.30,4.64,0.00,104.20,69.57,0.00,2.00,0.00,0.00
27.00,0.00,23.70,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.11,31.86,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.66,68.05,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,80.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.13,0.61,9.00,0.00,1.00,64.59,79.44,5.28,4.55,0.00,101.10,61.07,0.00,2.00,0.00,0.00
28.00,0.00,23.55,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,8.89,29.89,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.71,66.57,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,75.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.11,0.65,9.00,0.00,1.00,63.73,79.23,5.24,4.43,0.00,98.10,52.94,0.00,2.00,0.00,0.00
29.00,0.00,23.61,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,8.85,29.49,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.69,64.18,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,73.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.02,0.77,9.00,0.00,1.00,61.21,78.13,5.02,4.12,0.00,95.00,45.90,0.00,2.00,0.00,0.00
30.00,0.00,23.91,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,8.87,29.61,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.58,61.95,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,69.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.91,0.91,9.00,0.00,1.00,58.19,76.22,4.75,3.75,0.00,91.60,39.48,0.00,2.00,0.00,0.00
31.00,0.00,23.88,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.09,28.00,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.44,60.24,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,56.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.95,1.20,9.00,0.00,1.00,53.66,71.91,4.23,3.22,0.00,88.20,34.93,0.00,2.00,0.00,0.00
32.00,0.00,23.85,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.37,25.82,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.26,58.41,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,45.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.03,1.55,9.00,0.00,1.00,49.61,68.10,3.62,2.63,0.00,86.50,30.85,0.00,2.00,0.00,0.00
