"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
1.00,0.00,22.71,0.00,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,0.00,0.00,3.10,2.50,7.40,17.00,34.47,0.00,5.30,15.46,2.50,17.39,9.90,3.50,5.00,1.50,0.00,13.84,29.44,0.00,27.80,3.50,11.05,0.00,14.49,0.00,0.60,3.50,3.00,3.00,2.30,42.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,3.16,8.99,9.50,0.00,0.77,67.26,72.24,8.31,3.80,0.00,43.85,43.00,0.00,1.09,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
2.00,0.00,22.61,0.00,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,0.00,0.00,3.10,2.50,7.40,17.40,32.44,0.00,5.30,15.46,2.50,17.39,9.90,3.50,5.00,1.50,0.00,13.91,30.01,0.00,27.90,3.50,11.04,0.00,14.49,0.00,0.60,3.50,3.00,3.00,2.30,40.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,3.16,8.98,9.50,0.00,0.77,67.26,72.24,8.31,3.80,0.00,45.89,43.00,0.00,1.07,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
3.00,0.00,22.88,0.00,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,0.00,0.00,3.10,2.50,7.40,16.61,30.40,0.00,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,0.00,14.06,29.99,0.00,28.00,3.50,11.04,0.00,14.49,0.00,0.60,3.50,3.00,3.00,2.30,38.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,1.66,8.50,9.50,0.00,0.76,78.71,82.92,9.91,4.79,0.00,45.76,43.00,0.00,1.06,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
4.00,0.00,23.07,0.00,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,0.00,0.00,3.10,2.50,7.40,16.18,30.42,0.00,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,0.00,14.21,30.06,0.00,27.90,3.50,11.03,0.00,14.49,0.00,0.60,3.50,3.00,3.00,2.30,37.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,1.66,8.67,9.50,0.00,0.75,78.71,82.92,9.91,4.79,0.00,46.10,42.00,0.00,1.04,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
5.00,0.00,22.80,0.00,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,0.00,0.00,3.10,2.50,7.40,16.87,26.43,0.00,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,0.00,14.44,29.76,0.00,27.90,3.50,11.02,0.00,14.49,0.00,0.60,3.50,3.00,3.00,2.30,36.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,1.66,8.29,9.50,0.00,0.75,84.01,91.12,10.36,4.79,0.00,46.90,42.00,0.00,1.02,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
6.00,0.00,22.78,0.00,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,0.00,0.00,3.10,2.50,7.40,16.50,25.29,0.00,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,0.00,14.70,29.55,0.00,28.00,3.50,11.01,0.00,14.49,0.00,0.60,3.50,3.00,3.00,2.30,35.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,1.66,8.32,9.50,0.00,0.74,84.01,91.12,10.36,4.79,0.00,47.89,41.00,0.00,1.02,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
7.00,0.00,22.88,0.00,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,0.00,0.00,3.10,2.50,7.40,14.74,23.10,0.00,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,0.00,14.97,29.11,0.00,28.00,3.50,10.99,0.00,14.49,0.00,0.60,3.50,3.00,3.00,2.30,34.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,1.66,7.76,9.50,0.00,0.73,94.75,99.84,11.99,5.93,0.00,47.53,42.00,0.00,1.01,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
8.00,0.00,22.94,0.00,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,0.00,0.00,3.10,2.50,7.40,14.96,22.89,0.00,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,0.00,15.23,28.69,0.00,28.00,3.50,10.98,0.00,14.49,0.00,0.60,3.50,3.00,3.00,2.30,35.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,1.66,8.00,9.50,0.00,0.73,94.75,99.84,11.99,5.93,0.00,47.31,44.00,0.00,0.99,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
9.00,0.00,22.87,0.00,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,0.00,0.00,3.10,2.50,7.40,14.36,20.18,0.00,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,0.00,15.23,28.48,0.00,28.10,3.50,10.97,0.00,14.49,0.00,0.60,3.50,3.00,3.00,2.30,36.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,1.66,7.59,9.50,0.00,0.72,97.34,100.27,12.85,7.23,0.00,48.70,46.00,0.10,0.99,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
10.00,0.00,22.89,0.00,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,0.00,0.00,3.10,2.50,7.40,14.86,19.74,0.00,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,0.00,15.17,28.65,0.00,28.20,3.50,10.96,0.00,14.49,0.00,0.60,3.50,3.00,3.00,2.30,37.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,1.66,8.08,9.50,0.00,0.72,97.34,100.27,12.85,7.23,0.00,47.94,47.00,0.20,0.98,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.11
