"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
1.00,0.00,23.49,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,12.54,23.41,4.51,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.00,9.96,33.21,3.52,28.12,16.84,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,12.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,10.71,12.64,18.94,0.00,0.00,55.59,50.38,6.68,2.14,0.00,46.72,9.00,0.00,2.84,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
2.00,0.00,23.45,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,12.22,21.23,3.78,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.00,9.69,31.85,3.52,28.12,16.56,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,10.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,9.78,11.77,18.94,0.00,0.00,53.63,48.24,6.34,2.25,0.00,45.19,9.00,0.00,2.76,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
3.00,0.00,23.28,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,12.16,20.70,3.77,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.00,9.43,30.42,3.52,28.12,16.60,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,9.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,9.21,11.41,18.94,0.00,0.00,48.09,42.50,5.82,1.88,0.00,43.03,9.00,0.00,2.56,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
4.00,0.00,23.45,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,13.67,19.55,3.76,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.00,9.06,28.76,3.52,28.12,16.93,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,10.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,9.10,11.17,18.94,0.00,0.00,48.88,42.58,5.94,1.92,0.00,41.40,10.00,0.00,2.44,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
5.00,0.00,23.25,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,14.26,13.42,3.69,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.00,8.84,28.23,3.52,28.12,17.49,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,11.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,8.36,10.08,18.94,0.00,0.00,45.77,38.36,5.10,1.69,0.00,40.61,11.00,0.00,2.36,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
6.00,0.00,23.35,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,14.94,12.79,3.69,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.00,8.91,28.29,3.52,28.12,17.58,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,12.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,8.47,10.26,18.94,0.00,0.00,45.59,38.51,5.23,1.81,0.00,40.75,12.00,0.00,2.28,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
7.00,0.00,23.48,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,14.93,13.07,3.69,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.00,8.95,29.99,3.52,28.12,17.58,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,13.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,8.27,9.99,18.94,0.00,0.00,45.35,35.63,5.47,1.80,0.00,43.43,12.00,0.00,2.24,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
8.00,0.00,23.54,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,14.16,12.82,3.69,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.00,9.17,31.97,3.52,28.12,17.39,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,13.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,8.34,10.12,18.94,0.00,0.00,47.11,35.40,5.94,1.76,0.00,46.06,12.00,0.00,2.20,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
9.00,0.00,23.33,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,13.79,12.15,3.69,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.00,9.35,32.25,3.52,28.12,17.40,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,13.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,8.07,9.65,18.94,0.00,0.00,45.53,34.74,5.63,1.63,0.00,46.91,12.00,0.00,2.16,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
10.00,0.00,23.17,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,13.22,11.69,3.69,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.00,9.46,32.43,3.52,28.12,17.40,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,13.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,8.56,10.16,18.94,0.00,0.00,45.16,35.03,5.60,1.69,0.00,46.90,12.00,0.00,2.12,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
11.00,0.00,23.51,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,13.11,11.46,3.68,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.00,9.90,33.29,3.52,28.12,17.69,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,13.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,8.30,10.13,18.94,0.00,0.00,43.35,33.82,5.17,1.63,0.00,48.66,12.00,0.00,2.04,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
12.00,0.00,23.38,0.85,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.05,0.18,9.00,0.00,7.80,13.34,11.13,3.69,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.12,10.27,33.70,3.52,28.12,17.76,18.46,0.00,5.70,0.47,0.60,15.55,17.49,17.69,2.00,11.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,8.08,9.89,9.30,0.00,0.00,42.39,33.60,5.03,1.49,0.00,48.00,11.00,0.00,2.00,0.27,1.23,11.00,0.68,17.50,0.00,0.97,0.00
13.00,0.00,23.38,1.26,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.88,2.32,9.00,0.00,7.80,14.35,10.89,3.69,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,2.39,10.54,34.60,3.52,28.12,18.04,18.46,3.00,5.70,2.01,0.60,15.55,17.49,17.69,2.00,10.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,8.07,9.81,18.94,0.03,0.00,40.33,32.29,4.79,1.52,2.16,48.30,10.00,0.00,1.96,4.06,19.52,11.00,13.36,17.50,0.01,1.93,5.95
14.00,0.00,23.55,3.81,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,2.06,7.44,9.00,0.00,7.80,13.22,10.61,3.69,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,6.78,11.06,35.48,3.52,28.12,17.83,18.46,22.00,5.70,6.90,0.60,15.55,17.49,17.69,2.00,10.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,8.29,9.84,18.94,0.06,0.00,40.03,32.52,4.54,1.53,15.84,50.18,10.00,0.00,1.92,17.60,86.63,11.00,68.14,17.50,0.06,4.99,39.20
