"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2"
1.00,78.57,30.10,67.46,597.07,147.31,9.09,8.05,88.34,19.29,0.00,39.89,0.00,89.75,0.00,8.26,4.53,164.71,112.91,133.36,0.00,47.27,248.15,31.08,3.89,2.75,87.66,114.11,6.39,9.98,85.48,10.17,19.87,229.57,229.31,67.83,0.00,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,75.98,30.82,30.70,30.70,87.54,84.00,110.80,110.76
2.00,78.57,30.10,67.46,597.07,147.31,9.09,8.05,108.61,19.29,0.00,39.89,0.00,89.75,0.00,8.26,4.53,164.71,112.91,133.36,0.00,47.27,248.15,31.08,3.89,2.75,87.66,114.11,6.39,9.98,85.48,10.17,19.87,229.57,229.31,67.83,0.00,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,75.98,30.82,30.70,30.70,87.54,84.00,110.80,110.76
3.00,78.57,30.10,67.46,597.07,147.31,9.09,8.05,110.91,19.29,0.00,39.89,0.00,89.75,0.00,8.26,4.53,164.71,112.91,133.36,0.00,47.27,248.15,31.08,3.89,2.75,87.66,114.11,6.39,9.98,95.92,10.17,19.87,229.57,221.46,67.83,0.00,68.21,20.51,185.07,198.10,185.13,5.67,75.75,72.88,66.88,48.23,75.98,30.50,30.00,30.70,87.54,84.00,110.80,110.76
4.00,78.57,30.10,67.46,597.07,147.31,9.09,8.05,110.91,19.29,0.00,39.89,0.00,89.75,0.00,8.26,4.53,164.71,112.91,133.36,0.00,47.27,248.15,31.08,3.89,2.75,87.66,114.11,6.39,9.98,95.92,10.17,19.87,229.57,221.46,67.83,0.00,68.21,20.51,185.07,198.10,185.13,5.67,75.75,72.88,66.88,48.23,75.98,30.50,30.00,30.70,87.54,84.00,110.80,110.76
5.00,78.57,30.10,67.46,597.07,147.31,9.09,8.05,110.91,19.29,0.00,39.89,0.00,89.75,0.00,8.26,4.53,164.71,112.91,133.36,0.00,47.27,248.15,31.08,3.89,2.75,87.66,114.11,6.39,9.98,95.92,10.17,19.87,229.57,221.46,67.83,67.42,0.00,20.51,185.07,198.10,185.13,5.67,75.75,72.88,66.88,48.23,75.98,30.50,30.00,30.70,87.54,84.00,110.80,110.76
6.00,78.57,30.10,67.46,597.07,147.31,9.09,8.05,110.91,19.29,0.00,39.89,0.00,89.75,0.00,8.26,4.53,164.71,112.91,133.36,0.00,47.27,248.15,31.08,3.89,2.75,87.66,114.11,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,0.00,20.51,185.07,198.10,185.13,5.67,75.75,72.88,66.88,42.38,75.98,30.50,30.00,30.70,87.54,84.00,110.80,110.76
7.00,78.57,30.10,67.46,646.80,147.31,9.09,8.05,110.91,19.29,0.00,39.89,0.00,89.75,0.00,8.26,4.53,164.71,112.91,133.36,0.00,47.27,248.15,31.08,3.89,2.75,87.66,114.11,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,0.00,20.51,185.07,198.10,185.13,5.67,75.75,72.88,66.88,42.38,75.98,30.50,30.00,30.70,87.54,84.00,110.80,110.76
8.00,78.57,30.10,67.46,646.80,147.31,9.09,8.05,110.91,19.29,0.00,39.89,0.00,89.75,0.00,8.26,4.53,164.71,112.91,133.36,0.00,47.27,248.15,31.08,3.89,2.75,87.66,114.11,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,0.00,20.51,185.07,198.10,185.13,5.67,75.75,72.88,66.88,42.38,75.98,30.50,30.00,30.70,87.54,84.00,110.80,110.76
9.00,78.57,30.10,67.46,646.80,147.31,9.09,8.05,110.91,19.29,0.00,39.89,0.00,89.75,0.00,8.26,4.53,164.71,112.91,133.36,44.28,47.27,248.15,31.08,3.89,2.75,87.66,114.11,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,0.00,20.51,185.07,198.10,185.13,5.67,75.75,72.88,66.88,20.51,75.98,30.50,30.00,30.70,87.54,84.00,23.33,110.76
10.00,78.57,30.10,67.46,646.80,147.31,9.09,8.05,110.91,19.29,0.00,39.89,0.00,89.75,0.00,8.26,4.53,164.71,112.91,133.36,44.28,47.27,248.15,31.08,3.89,2.75,87.66,114.11,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,0.00,20.51,185.07,72.71,185.13,5.67,75.75,72.88,66.88,58.45,75.98,30.50,30.00,30.70,87.54,84.00,110.50,110.76
