"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY"
1.00,0.00,23.86,0.00,14.00,3.00,7.00,6.40,8.90,3.20,0.40,3.50,19.00,0.00,0.00,17.48,0.00,3.80,16.58,32.40,8.03,0.00,3.30,3.30,18.45,9.50,15.53,19.42,0.00,0.00,17.94,47.00,3.42,27.00,19.42,17.96,0.00,17.96,0.00,0.00,19.42,19.42,19.42,0.00,30.40,12.82,19.42,7.00,10.80,6.43,17.48,2.40,1.27,1.21,9.00,0.00,0.00,0.00,1.00,46.40,76.37,1.70,2.35,0.00,70.70,23.80,0.00,2.00,0.00,0.00,11.00,0.00
2.00,0.00,23.86,0.00,14.00,3.00,7.00,6.40,8.90,3.20,0.40,3.50,19.00,0.00,0.00,17.48,0.00,3.80,16.58,32.40,8.03,0.00,3.30,3.30,18.45,9.50,15.53,19.42,0.00,0.00,17.94,47.00,3.42,27.00,19.42,17.96,0.00,17.96,0.00,0.00,19.42,19.42,19.42,0.00,30.40,12.82,19.42,7.00,10.80,6.43,17.48,2.40,1.27,1.21,9.00,0.00,0.00,0.00,1.00,46.40,76.37,1.70,2.35,0.00,70.70,23.80,0.00,2.00,0.00,0.00,11.00,0.00
3.00,0.00,23.86,0.00,14.00,3.00,7.00,6.40,8.90,3.20,0.40,3.50,19.00,0.00,0.00,17.48,0.00,3.80,16.99,31.20,8.03,0.00,3.30,3.30,18.45,9.50,15.53,19.42,0.00,0.00,17.27,45.10,3.42,27.00,19.42,17.96,0.00,17.96,0.00,0.00,19.42,19.42,19.42,0.00,27.80,12.82,19.42,7.00,10.80,6.43,17.48,2.40,1.15,1.14,9.00,0.00,0.00,0.00,1.00,45.70,75.24,1.62,2.25,0.00,70.60,22.10,0.00,2.00,0.00,0.00,11.00,0.00
4.00,0.00,23.95,0.00,14.00,3.00,7.00,6.40,8.90,3.20,0.40,3.50,19.00,0.00,0.00,17.48,0.00,3.80,17.40,30.40,8.02,0.00,3.30,3.30,18.45,9.50,15.53,19.42,0.00,0.00,16.62,43.20,3.42,27.00,19.42,17.96,0.00,17.96,0.00,0.00,19.42,19.42,19.42,0.00,24.50,12.82,19.42,7.00,10.80,6.43,17.48,2.40,1.05,1.06,9.00,0.00,0.00,0.00,1.00,44.90,73.92,1.53,2.12,0.00,70.70,19.70,0.00,2.00,0.00,0.00,11.00,0.00
5.00,0.00,23.95,0.00,14.00,3.00,7.00,6.40,8.90,3.20,0.40,3.50,19.00,0.00,0.00,17.48,0.00,3.80,17.48,29.90,8.03,0.00,3.30,3.30,18.45,9.50,15.53,19.42,0.00,0.00,16.31,42.90,3.42,27.00,19.42,17.96,0.00,17.96,0.00,0.00,19.42,19.42,19.42,0.00,21.00,12.82,19.42,7.00,10.80,6.43,17.48,2.40,0.89,0.87,9.00,0.00,0.00,0.00,1.00,44.00,72.54,1.52,2.09,0.00,70.20,17.50,0.00,2.00,0.00,0.00,11.00,0.00
6.00,0.00,24.01,0.00,14.00,3.00,7.00,6.40,8.90,3.20,0.40,3.50,19.00,0.00,0.00,17.48,0.00,3.80,17.44,29.50,8.03,0.00,3.30,3.30,18.45,9.50,15.53,19.42,0.00,0.00,16.12,43.20,3.42,27.00,19.42,17.96,0.00,17.96,0.00,0.00,19.42,19.42,19.42,0.00,17.50,12.82,19.42,7.00,10.80,6.43,17.48,2.40,0.71,0.65,9.00,0.00,0.00,0.00,1.00,43.10,71.14,1.54,2.09,0.00,69.60,15.30,0.00,2.00,0.00,0.00,11.00,0.00
7.00,0.00,24.13,0.00,14.00,3.00,7.00,6.40,8.90,3.20,0.40,3.50,19.00,0.00,0.00,17.48,0.00,3.80,17.68,29.40,8.02,0.00,3.30,3.30,18.45,9.50,15.53,19.42,0.00,0.00,16.61,43.80,3.42,27.00,19.42,17.96,0.00,17.96,0.00,0.00,19.42,19.42,19.42,0.00,17.00,12.82,19.42,7.00,10.80,6.43,17.48,2.40,0.66,0.60,9.00,0.00,0.00,0.00,1.00,42.20,70.78,1.54,2.07,0.00,70.20,15.30,0.00,2.00,0.00,0.00,11.00,0.00
8.00,0.00,24.02,0.00,14.00,3.00,7.00,6.40,8.90,3.20,0.40,3.50,19.00,0.00,0.00,17.48,0.00,3.80,18.00,29.60,8.02,0.00,3.30,3.30,18.45,9.50,15.53,19.42,0.00,0.00,17.34,44.50,3.42,27.00,19.42,17.96,0.00,17.96,0.00,0.00,19.42,19.42,19.42,0.00,17.40,12.82,19.42,7.00,10.80,6.43,17.48,2.40,0.65,0.61,9.00,0.00,0.00,0.00,1.00,41.20,70.77,1.54,2.05,0.00,71.10,16.00,0.00,2.00,0.00,0.00,11.00,0.00
9.00,0.00,24.03,0.00,14.00,3.00,7.00,6.40,8.90,3.20,0.40,3.50,19.00,0.00,0.00,17.48,0.00,3.80,17.67,29.30,8.03,0.00,3.30,3.30,18.45,9.50,15.53,19.42,0.00,0.00,17.47,43.90,3.42,27.00,19.42,17.96,0.00,17.96,0.00,0.00,19.42,19.42,19.42,0.00,20.80,12.82,19.42,7.00,10.80,6.43,17.48,2.40,0.68,0.68,9.00,0.00,0.00,0.00,1.00,40.40,70.56,1.54,2.01,0.00,71.90,17.90,0.00,2.00,0.00,0.00,11.00,0.00
10.00,0.01,24.11,0.09,14.00,3.00,7.00,6.40,8.90,3.20,0.40,3.50,19.00,0.02,0.15,17.48,0.00,3.80,17.12,28.90,8.03,0.00,3.30,3.30,18.45,9.50,15.53,19.42,0.00,0.00,17.41,42.90,3.42,27.00,19.42,17.96,3.05,17.96,0.00,0.00,19.42,19.42,19.42,0.00,25.20,12.82,19.42,7.00,10.80,6.43,17.48,2.40,0.73,0.78,9.00,0.00,0.00,0.00,1.00,39.70,70.29,1.53,1.97,3.44,72.70,20.20,0.00,2.00,0.17,0.01,11.00,0.00
