"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2"
1.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,1.96,41.51,7.62,143.00,4.90,7.59,4.17,164.71,25.13,88.82,44.28,45.00,146.38,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,36.10,0.00,198.10,185.13,5.67,0.00,0.00,66.88,66.80,81.95,30.50,30.70,30.70,87.54,84.00,110.80,110.50
2.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,1.96,41.51,7.62,143.00,4.90,7.59,4.17,164.71,23.02,88.82,44.28,45.00,146.38,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,36.10,0.00,198.10,185.13,5.67,0.00,0.00,66.88,66.80,81.95,30.50,30.70,30.70,87.54,84.00,110.80,110.50
3.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,1.96,41.51,7.62,143.00,4.90,7.59,4.17,164.71,20.78,88.82,44.28,47.27,146.38,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,36.10,0.00,198.10,185.13,5.67,0.00,0.00,66.88,66.80,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.50
4.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,1.96,41.51,7.62,143.00,4.90,7.59,4.17,164.71,21.38,88.82,44.28,47.27,146.38,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,36.10,0.00,198.10,185.13,5.67,0.00,0.00,66.88,66.80,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.50
5.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,1.96,41.51,7.62,143.00,4.90,7.59,4.17,164.71,23.24,88.82,44.28,45.00,146.38,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,36.10,0.00,198.10,185.13,5.67,0.00,0.00,66.88,66.80,81.95,30.50,30.70,30.70,87.54,84.00,110.80,110.50
6.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,1.96,41.51,7.62,143.00,4.90,7.59,4.17,164.71,25.94,88.82,44.28,45.00,146.38,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,36.10,0.00,198.10,185.13,5.67,0.00,0.00,66.88,66.80,81.95,30.50,30.70,30.70,87.54,84.00,110.80,110.50
7.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,1.96,41.51,7.62,143.00,4.90,7.59,4.17,164.71,26.86,88.82,44.28,45.00,146.38,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,36.10,0.00,198.10,185.13,5.67,0.00,0.00,66.88,66.80,81.95,30.50,30.70,30.70,87.54,84.00,110.80,110.50
8.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,1.96,41.51,7.62,143.00,4.90,7.59,4.17,164.71,26.72,88.82,44.28,45.00,146.38,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,36.10,0.00,198.10,185.13,5.67,0.00,0.00,66.88,66.80,81.95,30.50,30.70,30.70,87.54,84.00,110.80,110.50
9.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,1.96,41.51,7.62,143.00,4.90,7.59,4.17,164.71,25.92,88.82,44.28,45.00,146.38,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,36.10,0.00,198.10,185.13,5.67,0.00,0.00,66.88,66.80,81.95,30.50,30.70,30.70,87.54,84.00,110.80,110.50
10.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,1.96,41.51,7.62,143.00,4.90,7.59,4.17,164.71,25.75,88.82,44.28,45.00,146.38,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,36.10,0.00,198.10,185.13,5.67,0.00,0.00,66.88,66.80,81.95,30.50,30.70,30.70,87.54,84.00,110.80,110.50
11.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,1.96,41.51,7.62,143.00,4.90,7.59,4.17,164.71,112.91,88.82,44.28,45.00,146.38,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,36.10,0.00,198.10,185.13,5.67,0.00,0.00,66.88,66.80,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.50
12.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,1.96,41.51,7.62,143.00,4.90,7.59,4.17,164.71,112.91,88.82,44.28,45.00,146.38,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,36.10,0.00,198.10,185.13,5.67,0.00,0.00,66.88,66.80,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.50
13.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,1.96,41.51,7.62,143.00,4.90,7.59,4.17,164.71,112.91,88.82,44.28,45.00,146.38,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,36.10,0.00,198.10,185.13,5.67,0.00,0.00,66.88,66.80,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.50
14.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,1.96,41.51,7.62,143.00,4.90,7.59,4.17,164.71,112.91,88.82,44.28,45.00,146.38,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,36.10,0.00,198.10,185.13,5.67,0.00,0.00,66.88,66.80,81.95,30.50,30.70,30.70,87.54,84.00,110.80,110.50
15.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,1.96,41.51,7.62,143.00,4.90,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,34.42,3.89,6.88,87.66,0.00,6.39,9.98,95.92,0.00,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,0.00,0.00,66.88,66.80,81.95,30.50,30.70,30.70,87.54,84.00,110.80,110.50
