"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
1.00,0.00,23.40,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,3.95,11.76,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,11.70,62.60,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,16.27,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,1.80,0.52,18.00,0.00,1.00,39.10,70.60,0.40,0.40,0.00,99.40,0.30,0.00,2.00,0.00
2.00,0.00,23.58,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,3.45,11.58,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,21.10,71.10,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,15.22,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,1.90,0.69,18.00,0.00,1.00,46.10,76.50,0.30,0.40,0.00,123.80,0.70,0.00,2.00,0.00
3.00,0.00,23.43,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,2.97,11.17,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,20.60,64.60,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,14.37,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,2.00,0.91,18.00,0.00,1.00,38.20,67.50,0.30,0.50,0.00,108.50,1.00,0.00,2.00,0.00
4.00,0.00,23.40,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,2.55,10.04,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,20.50,65.10,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,20.09,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,1.80,1.29,18.00,0.00,1.00,30.90,59.90,0.20,0.40,0.00,107.80,16.10,0.00,2.00,0.00
5.00,0.00,23.46,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,2.20,8.85,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,20.60,61.10,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,19.41,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,1.60,1.54,18.00,0.00,1.00,28.80,52.80,0.20,0.40,0.00,98.60,16.20,0.00,2.00,0.00
6.00,0.00,23.55,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,2.04,7.52,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,20.90,57.20,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,17.48,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,1.60,1.39,18.00,0.00,1.00,27.80,46.00,0.20,0.30,0.00,100.50,16.20,0.00,2.00,0.00
7.00,0.00,23.67,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,1.82,6.41,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,21.30,53.30,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,15.53,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,1.70,1.33,18.00,0.00,1.00,27.10,44.50,0.20,0.30,0.00,102.80,16.10,0.00,2.00,0.00
8.00,0.00,23.43,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.10,0.00,18.05,0.00,9.20,1.41,6.01,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,21.50,47.70,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,13.48,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,2.20,1.53,18.00,0.00,1.00,26.60,43.20,0.20,0.30,0.00,104.20,16.20,0.00,2.00,0.00
9.00,0.00,23.40,0.20,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,1.40,0.50,18.05,0.00,9.20,1.05,5.65,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,21.50,46.50,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,11.73,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,2.80,1.73,18.00,0.00,1.00,26.00,41.90,0.20,0.30,0.00,65.30,16.30,0.00,2.00,0.00
10.00,0.00,23.43,1.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,3.40,3.50,18.05,0.00,9.20,0.89,5.39,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,1.53,11.50,30.40,3.51,0.00,19.51,19.32,0.00,0.00,0.51,0.60,19.51,19.51,19.51,2.40,10.84,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,3.40,1.95,18.00,0.00,1.00,25.80,40.80,0.20,0.30,0.00,65.10,16.90,0.00,2.00,0.00
11.00,0.50,23.54,2.20,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,6.00,8.60,18.05,0.00,9.20,0.75,5.16,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,5.58,11.30,29.30,3.51,0.00,19.51,19.32,10.00,0.00,5.01,0.60,19.51,19.51,19.51,2.40,10.16,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,3.90,2.19,18.00,0.02,1.00,25.60,39.70,0.20,0.30,7.20,64.50,17.70,0.00,2.00,1.25
12.00,2.43,23.91,3.70,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,9.10,11.10,18.05,0.00,9.20,0.67,4.99,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,10.34,11.50,30.70,3.51,0.00,19.51,19.32,39.00,0.00,14.48,0.60,19.51,19.51,19.51,2.40,10.12,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,4.10,2.51,18.00,0.05,1.00,27.20,40.60,0.20,0.40,28.10,64.70,17.40,0.00,2.00,10.74
13.00,4.92,24.10,6.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,11.40,12.70,18.05,0.00,9.20,0.61,4.92,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,12.50,11.80,32.90,3.51,0.00,19.51,19.32,70.00,0.00,25.38,0.00,19.51,19.51,19.51,2.40,10.12,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,4.20,2.87,18.00,0.06,1.00,29.30,42.00,0.30,0.60,50.40,65.30,16.70,0.00,2.00,28.93
14.00,7.49,23.85,8.10,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,13.40,13.80,18.05,0.00,9.20,0.60,5.16,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,10.38,13.00,37.40,3.51,0.00,19.51,19.32,102.00,0.00,33.36,0.00,19.51,19.51,19.51,2.40,10.22,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,4.60,3.38,18.00,0.09,1.00,16.70,29.30,0.50,0.90,73.40,68.30,16.50,0.00,2.00,45.36
15.00,9.96,24.16,10.30,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,16.40,15.20,18.05,0.00,9.20,0.66,5.51,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,13.53,14.60,42.80,3.51,0.00,19.51,19.32,121.00,0.00,34.42,0.60,19.51,19.51,19.51,1.20,10.24,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,5.00,4.04,18.00,0.41,1.00,19.20,31.90,0.80,1.30,87.10,72.10,16.60,0.10,2.00,55.70
16.00,12.11,24.08,12.80,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,17.40,16.20,18.05,0.00,9.20,0.91,6.16,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.55,16.20,49.40,3.51,0.00,19.51,19.32,128.00,0.00,35.10,0.60,19.51,19.51,19.51,1.20,9.99,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,5.60,5.16,18.00,0.56,1.00,22.30,34.80,1.00,1.60,92.20,77.70,16.70,0.20,2.00,62.00
17.00,14.11,24.12,15.20,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,17.90,16.60,18.05,0.00,9.20,1.08,7.39,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.52,17.70,56.30,3.51,0.00,19.51,19.32,132.00,0.00,35.65,0.60,19.51,19.51,19.51,1.20,10.03,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,6.30,6.17,18.00,0.69,1.00,25.60,37.70,1.40,1.90,95.00,83.90,16.90,0.20,2.00,66.25
18.00,15.41,24.04,17.40,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,18.40,16.90,18.05,0.00,9.20,1.00,10.36,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.46,19.00,62.00,3.51,0.00,19.51,19.32,135.00,0.00,35.84,0.60,19.51,19.51,19.51,1.20,10.90,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,7.00,6.89,18.00,0.77,1.00,30.00,41.90,1.60,2.30,97.20,89.50,18.00,0.30,2.00,70.18
19.00,16.18,23.91,18.70,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,18.70,17.20,18.05,0.00,9.20,1.01,14.35,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.55,20.30,62.40,3.51,0.00,19.51,19.32,136.00,0.00,36.01,0.60,19.51,19.51,19.51,1.20,7.66,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,7.60,7.66,18.00,0.84,1.00,34.80,46.60,1.90,2.90,97.90,84.90,10.00,0.30,2.00,72.70
20.00,17.62,23.89,19.10,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,19.00,17.40,18.05,0.00,9.20,1.78,23.42,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.57,21.70,67.20,3.51,0.00,19.51,19.32,136.00,0.00,32.53,0.60,19.51,19.51,19.51,1.20,16.09,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,7.80,9.62,18.00,0.86,1.00,39.50,50.90,2.20,3.30,97.92,91.20,22.00,0.30,2.00,74.25
