"ETAPA \ GENERADOR","KALLPATG1GAS","KALLPATG2GAS","KALLPATG3GAS","KALLPACC1GAS","KALLPACC2GAS","KALLPACC3GAS","KALLPACC12GAS","KALLPACC23GAS","KALLPACC13GAS","KALLPACC123GAS","CHILCA1TG1GAS","CHILCA1TG2GAS","CHILCA1TG3GAS","CHILCA1CC1GAS","CHILCA1CC2GAS","CHILCA1CC3GAS","CHILCA1CC12GAS","CHILCA1CC23GAS","CHILCA1CC13GAS","CHILCA1CC123GAS","AGETG1GAS","AGETG2GAS","MAL2TGN4GAS","MAL3TG5D2","VENT3D2","VENT4D2","VENT3GAS","VENT4GAS","VENTCC3GAS","VENTCC4GAS","VENTCC34GAS","VENTCC3GASFD","VENTCC4GASFD","VENTCC34GASFD","RFILO2TG1D2","RFILO2TG2D2","RFILO2TG3D2","INDEPGAS","OLLEROSTG1GAS","LFLORESTG1GAS","SNTV1R500","SNTV2R500","SHCUMMINS","CHILSLZ12R500D2","MOLL123D2","FENIXGT12GAS","FENIXCCGT12GAS","FENIXGT11GAS","FENIXCCGT11GAS","FENIXCCGT11GT12GAS","RECKA TG1  D2","PTOBRVO TG3  D2","PTOBRVO TG1  D2","PTOBRVO TG4  D2","PTOBRVO TG2  D2","FENIXCCGT11GT12D2","CTNEPITG43D2","CTNEPITG42D2","CTNEPITG41D2","RF ETEN TG1  D2","RF ETEN TG2  D2","RF PTO MALDONADO  D2","RF PUCALLPA  D2","CHILCA2 CCOMB TG41  GAS","CHILCA2 TG41  GAS","CHILINA TG  D2","STA ROSA UTI 6  GAS","STA ROSA UTI 5  D2","STA ROSA WEST TG7  D2 CON H2O","STA ROSA UTI 6  D2","STA ROSA UTI 5  GAS","STA ROSA WEST TG7  GAS CON H2O","STA ROSA WEST TG7  GAS","STAROSA TG8 GAS","MALACAS3 TG 5  GAS","OLLEROS CCOMB TG1  GAS","FENIX GT12  D2","FENIX GT11  D2","FENIX CCOMB GT12  D2","FENIX CCOMB GT11  D2","LFLORES CCOMB TG1  GAS","TUMBES MAK 1  D2","TUMBES MAK 2  D2","REFTALARA TV1TV2FXRFG","MAL1TG6D2","MAL1TG6GAS"
1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9188.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11525.962,2203.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6616.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6494.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,890.862,0.000,0.000,0.000,735.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3359.974,0.000,0.000,0.000,0.000,4405.751,0.000,0.000,586.282,0.000,604.483
2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9188.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11535.917,2203.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5092.460,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6494.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,890.862,0.000,0.000,0.000,685.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3359.974,0.000,0.000,0.000,0.000,4405.751,0.000,0.000,586.282,0.000,604.483
3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9188.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11573.595,2203.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5748.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6494.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,819.440,0.000,0.000,0.000,685.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3359.974,0.000,0.000,0.000,0.000,4405.751,0.000,0.000,586.282,0.000,604.483
4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9188.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11582.488,2203.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5849.171,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6494.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,890.862,0.000,0.000,0.000,685.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3359.974,0.000,0.000,0.000,0.000,4405.751,0.000,0.000,586.282,0.000,604.483
5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9188.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11573.595,2203.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5560.281,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6494.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,890.862,0.000,0.000,0.000,685.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3359.974,0.000,0.000,0.000,0.000,4405.751,0.000,0.000,586.282,0.000,604.483
6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9188.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11591.167,2203.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5436.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6494.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,890.862,0.000,0.000,0.000,685.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3472.809,0.000,0.000,0.000,0.000,4405.751,0.000,0.000,586.282,0.000,604.483
7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9188.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11573.595,2203.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6417.541,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6494.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,890.862,0.000,0.000,0.000,685.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3602.589,0.000,0.000,0.000,0.000,4405.751,0.000,0.000,586.282,0.000,604.483
8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9188.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11564.497,2203.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5211.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6494.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,890.862,0.000,0.000,0.000,685.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3735.057,0.000,0.000,0.000,0.000,4405.751,0.000,0.000,586.282,0.000,604.483
9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9188.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11555.185,2203.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5078.625,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6494.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,890.862,0.000,0.000,0.000,685.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3867.525,0.000,0.000,0.000,0.000,4405.751,0.000,0.000,586.282,0.000,604.483
10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9188.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11555.185,2203.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5112.902,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6494.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,890.862,0.000,0.000,0.000,685.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3867.525,0.000,0.000,0.000,0.000,4405.751,0.000,0.000,586.282,0.000,604.483
