"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2","CHARCATA"
1.00,78.57,29.98,67.20,650.00,211.66,6.48,6.80,110.48,19.21,3.37,41.90,0.00,25.31,6.56,3.52,80.39,112.47,132.84,47.08,213.00,13.48,6.88,43.97,0.00,6.39,9.98,67.41,5.47,19.79,0.00,228.42,55.80,67.16,60.06,20.60,184.35,197.33,0.00,5.67,74.99,75.00,0.00,0.00,81.64,30.70,30.59,30.58,76.77,87.36,110.37,110.32,155.00,20.46,20.42,22.16,14.58,0.00
2.00,78.57,29.98,67.20,650.00,211.66,6.48,6.80,110.48,19.21,3.37,41.90,0.00,23.43,6.56,3.52,80.39,112.47,132.84,47.08,213.00,13.48,6.88,43.97,0.00,0.00,9.98,67.41,5.47,19.79,0.00,228.42,50.78,67.16,60.06,20.60,184.35,197.33,0.00,5.67,74.99,75.00,0.00,0.00,81.64,30.70,30.59,30.58,76.77,87.36,110.37,110.32,155.00,20.46,20.42,22.16,14.58,0.00
3.00,78.57,29.98,67.20,650.00,211.66,6.48,6.80,110.48,19.21,3.37,41.90,0.00,20.46,6.56,3.52,80.39,112.47,132.84,47.08,213.00,13.48,6.88,43.97,36.00,6.39,9.98,67.41,5.47,19.79,0.00,228.42,47.51,67.16,60.06,20.60,184.35,197.33,0.00,5.67,74.99,75.00,0.00,0.00,81.64,30.70,30.59,30.58,76.77,87.36,110.37,110.32,155.00,20.46,20.42,22.16,14.58,0.00
4.00,78.57,29.98,67.20,650.00,211.66,6.48,6.80,110.48,19.21,3.37,41.90,0.00,32.14,6.56,3.52,80.39,112.47,132.84,47.08,213.00,13.48,6.88,43.97,36.00,6.39,9.98,67.15,5.47,19.73,0.00,228.42,44.28,66.60,21.35,58.01,184.35,197.33,0.00,5.67,74.99,75.00,0.00,0.00,81.64,30.70,30.59,30.58,85.00,87.36,98.84,110.32,155.00,20.46,20.42,22.16,21.95,0.00
5.00,78.57,29.98,67.20,650.00,211.66,6.48,6.80,110.48,19.21,3.37,41.90,0.00,44.76,6.56,3.52,80.39,112.47,132.84,47.08,213.00,13.48,6.88,43.97,36.00,6.39,9.98,67.41,5.47,19.79,0.00,228.42,44.11,67.16,60.06,20.60,184.35,197.33,0.00,5.67,74.99,75.00,0.00,0.00,81.64,30.70,30.59,30.58,85.00,87.36,98.84,110.32,155.00,20.46,20.42,22.16,21.95,0.00
6.00,78.57,29.98,67.20,650.00,211.66,6.48,6.80,110.48,19.21,3.37,41.90,0.00,44.76,6.56,3.52,80.39,112.47,132.84,47.08,213.00,13.48,6.88,43.97,36.00,6.39,9.98,67.41,5.47,19.79,0.00,228.42,51.95,67.16,60.06,20.60,184.35,197.33,0.00,5.67,74.99,75.00,0.00,0.00,81.64,30.70,30.59,30.58,85.00,87.36,98.84,110.32,155.00,20.46,20.42,22.16,21.95,0.00
7.00,78.57,29.98,67.20,650.00,211.66,6.48,6.80,110.48,19.21,3.37,41.90,0.00,53.89,6.56,3.52,80.39,112.47,132.84,47.08,213.00,13.48,6.88,43.97,0.00,6.39,9.98,95.55,5.47,19.79,0.00,216.43,67.57,67.16,60.06,20.60,184.35,197.33,0.00,5.67,74.99,75.00,0.00,0.00,81.64,30.70,30.59,30.58,85.00,87.36,110.37,110.32,155.00,20.46,20.42,22.16,21.95,0.00
8.00,78.57,29.98,67.20,650.00,211.66,6.48,6.80,110.48,19.21,3.37,41.90,0.00,142.44,6.56,3.52,80.39,112.47,132.84,47.08,213.00,13.48,6.88,43.97,0.00,6.39,9.98,95.55,5.47,19.79,0.00,216.43,67.57,67.16,60.06,20.60,184.35,197.33,0.00,5.67,74.99,75.00,0.00,0.00,81.64,30.70,30.59,30.58,85.00,87.36,110.37,110.32,155.00,20.46,20.42,22.16,21.95,0.00
9.00,78.57,29.98,67.20,650.00,211.66,6.48,6.80,110.48,19.21,3.37,41.90,0.00,95.37,6.56,3.52,80.39,112.47,132.84,37.90,213.00,13.48,6.88,43.97,0.00,6.39,9.98,95.55,5.47,19.79,0.00,220.60,67.57,67.16,67.94,20.60,184.35,197.33,0.00,5.67,74.99,75.00,0.00,0.00,81.64,30.70,30.59,30.58,76.77,87.36,110.37,110.32,155.00,20.46,20.42,22.16,21.00,0.00
10.00,78.57,29.98,67.20,650.00,211.66,6.48,6.80,110.48,19.21,3.37,41.90,0.00,142.44,6.56,3.52,80.39,112.47,132.84,37.90,213.00,13.48,6.88,43.97,0.00,6.39,9.98,95.55,5.47,19.79,0.00,220.60,67.57,67.16,67.94,20.60,184.35,197.33,0.00,5.67,74.99,75.00,0.00,0.00,81.64,30.70,30.59,30.58,85.00,87.36,110.37,110.32,155.00,20.46,20.42,14.29,21.00,0.00
