"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
11.00,5.54,12.29,5.79,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,14.35,14.14,17.56,0.00,7.80,10.79,18.81,8.10,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,12.11,18.27,35.40,3.20,0.00,19.51,19.32,109.36,9.20,25.30,0.60,20.00,19.51,19.51,2.40,15.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.75,1.34,9.00,0.07,1.00,8.80,18.51,0.76,0.67,83.63,62.76,19.55,0.00,2.00,40.00,8.62
12.00,8.22,12.41,8.25,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,16.10,15.12,17.56,0.00,7.80,9.67,18.93,8.10,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,12.68,17.30,36.48,3.20,0.00,19.51,19.32,127.76,9.20,32.55,0.60,20.00,19.51,19.51,2.40,14.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.85,1.44,9.00,0.10,1.00,4.81,13.66,0.69,0.73,92.88,60.17,17.90,0.00,2.00,49.35,15.57
13.00,10.54,12.29,10.61,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.02,15.99,17.56,0.00,7.80,8.92,19.90,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.17,16.77,41.13,3.20,0.00,19.51,19.32,132.40,9.20,33.54,0.60,20.00,19.51,19.51,2.40,13.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.00,1.65,9.00,0.49,1.00,2.09,23.23,0.87,0.87,96.11,61.91,14.98,0.10,2.00,56.64,22.45
14.00,12.48,12.34,12.56,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.48,16.72,17.56,0.00,7.80,8.29,21.15,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.50,16.69,46.14,3.20,0.00,19.51,19.32,134.93,9.20,34.19,0.60,20.00,19.51,19.51,2.40,12.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.16,1.89,9.00,0.67,1.00,0.69,19.76,1.15,1.06,98.22,64.71,12.79,0.20,2.00,63.31,28.98
15.00,14.13,12.21,14.23,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.61,17.19,17.56,0.00,7.80,7.77,24.67,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.23,16.98,52.14,3.20,0.00,19.51,19.32,135.91,9.20,34.70,0.60,20.00,19.51,19.51,2.40,11.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.50,2.35,9.00,0.83,1.00,3.29,22.20,1.70,1.49,99.29,70.61,12.76,0.20,2.00,67.28,34.09
16.00,15.51,12.21,15.69,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.59,16.99,17.56,0.00,7.80,7.28,28.94,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.20,17.64,58.01,3.20,0.00,19.51,19.32,136.32,9.20,35.06,0.60,20.00,19.51,19.51,2.40,12.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.90,2.88,9.00,0.93,1.00,6.90,26.03,2.35,2.00,99.80,76.42,14.38,0.30,2.00,69.80,37.69
17.00,16.53,12.24,16.70,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.56,17.06,17.56,0.00,7.80,7.40,34.35,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.31,18.46,63.35,3.20,0.00,19.51,19.32,135.68,9.20,35.08,0.60,20.00,19.51,19.51,2.40,17.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,2.22,3.19,9.00,1.01,1.00,13.61,34.05,3.43,2.72,99.80,81.88,20.92,0.30,2.00,71.29,40.26
18.00,17.41,11.88,17.38,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.57,17.02,17.56,0.00,7.80,7.72,40.14,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.47,19.44,68.02,3.20,0.00,19.51,19.32,133.55,9.20,35.09,0.60,20.00,19.51,19.51,2.40,25.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,2.52,3.43,9.00,1.03,1.00,30.95,41.71,4.65,3.51,98.75,86.69,29.56,0.30,2.00,71.92,41.86
19.00,17.80,11.94,17.82,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.64,17.03,17.56,0.00,7.80,8.26,45.93,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.84,20.49,70.67,3.20,0.00,19.51,19.32,130.91,9.20,34.74,0.60,20.00,19.51,19.51,2.40,37.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,2.64,3.33,9.00,1.02,1.00,40.14,48.29,5.48,4.19,97.37,89.58,44.49,0.40,2.00,71.75,42.89
20.00,18.15,11.67,18.08,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.77,17.05,17.56,0.00,7.80,8.88,51.72,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.94,21.62,73.61,3.20,0.00,19.51,19.32,130.81,9.20,34.41,0.60,20.00,19.51,19.51,2.40,52.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,2.70,3.11,9.00,1.04,1.00,48.09,54.16,6.17,4.83,97.24,92.42,60.57,0.40,2.00,72.13,43.40
21.00,18.28,11.56,18.02,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.85,16.97,17.56,0.00,7.80,9.44,55.31,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.96,22.60,77.43,3.20,0.00,19.51,19.32,130.51,9.20,34.31,0.60,20.00,19.51,19.51,2.40,71.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,3.71,4.47,9.00,1.03,1.00,52.31,57.91,6.94,5.49,97.02,95.13,80.06,0.40,2.00,72.49,43.33
22.00,17.75,11.56,17.51,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.85,16.90,17.56,0.00,7.80,9.97,58.16,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.89,23.43,80.66,3.20,0.00,19.51,19.32,131.06,9.20,34.59,0.60,20.00,19.51,19.51,2.40,88.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,5.03,6.36,9.00,1.02,1.00,56.59,61.80,7.73,6.15,96.41,97.96,97.76,0.40,2.00,72.52,42.70
23.00,16.79,11.73,16.51,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.95,16.99,17.56,0.00,7.80,10.51,58.74,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.98,24.11,82.18,3.20,0.00,19.51,19.32,132.71,9.20,34.46,0.60,20.00,19.51,19.51,2.40,95.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,5.45,6.69,9.00,1.02,1.00,61.03,66.11,8.30,6.64,95.82,101.13,110.08,0.30,2.00,72.36,41.66
24.00,15.65,11.56,15.48,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.84,16.93,17.56,0.00,7.80,11.05,58.56,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.90,24.62,83.55,3.20,0.00,19.51,19.32,132.27,9.20,34.46,0.60,20.00,19.51,19.51,2.40,103.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,5.57,6.48,9.00,0.87,1.00,65.07,69.71,8.80,7.08,95.29,104.03,120.74,0.20,2.00,71.13,40.18
25.00,14.07,11.56,13.97,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.64,16.83,17.56,0.00,7.80,11.19,60.07,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.72,25.13,84.49,3.20,0.00,19.51,19.32,129.06,9.20,34.40,0.60,20.00,19.51,19.51,2.40,108.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,4.98,5.35,9.00,0.84,1.00,67.92,71.15,8.95,7.38,93.20,106.10,126.40,0.20,2.00,68.17,37.50
26.00,12.24,11.71,12.33,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.13,16.60,17.56,0.00,7.80,11.20,62.15,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.35,25.63,85.29,3.20,0.00,19.51,19.32,124.98,9.20,34.17,0.60,20.00,19.51,19.51,2.40,113.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,4.14,3.90,9.00,0.79,1.00,70.41,73.09,8.98,7.65,89.76,107.96,131.49,0.10,2.00,63.86,33.62
27.00,10.02,11.67,10.14,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,16.11,15.90,17.56,0.00,7.80,11.34,64.17,7.20,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,12.86,26.04,85.67,3.20,0.00,19.51,19.32,113.82,9.20,32.69,0.60,20.00,19.51,19.51,2.40,117.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,3.70,3.03,9.00,0.66,1.00,70.77,76.52,6.61,6.57,82.85,109.15,134.90,0.10,2.00,56.61,29.23
28.00,7.50,11.90,7.71,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,14.06,14.46,17.56,0.00,7.80,11.53,66.18,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,11.69,26.37,85.84,3.20,0.00,19.51,19.32,91.25,9.20,28.02,0.60,20.00,19.51,19.51,2.40,120.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,3.39,2.34,9.00,0.48,1.00,73.04,79.75,7.96,6.85,71.49,110.22,137.72,0.10,2.00,40.81,24.35
29.00,4.77,11.72,5.13,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,7.64,9.78,17.56,0.00,7.80,11.55,66.53,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,7.85,26.64,85.40,3.20,0.00,19.51,19.32,56.30,9.20,18.05,0.60,20.00,19.51,19.51,2.40,121.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,3.58,2.29,9.00,0.41,1.00,73.81,82.42,8.28,7.42,49.12,110.92,138.81,0.10,2.00,19.12,18.30
30.00,2.35,11.78,2.53,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,1.12,2.92,17.56,0.00,7.80,11.51,66.31,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,1.87,26.86,84.65,3.20,0.00,19.51,19.32,20.11,9.20,7.25,0.60,20.00,19.51,19.51,2.40,122.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,3.92,2.44,9.00,0.28,1.00,74.24,84.37,7.37,6.81,19.44,111.52,138.51,0.10,2.00,5.90,11.25
31.00,0.48,23.33,0.58,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.13,17.56,0.00,7.80,11.36,65.86,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,27.02,82.99,3.20,0.00,19.51,19.32,1.35,9.20,0.51,0.60,20.00,19.51,19.51,2.40,121.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,3.71,2.34,9.00,0.10,1.00,73.69,84.20,6.60,6.09,1.68,111.81,134.04,0.00,2.00,0.53,5.54
32.00,0.00,23.38,0.00,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,11.17,65.33,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,27.11,81.19,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,120.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,3.31,2.15,9.00,0.05,1.00,72.55,83.80,5.87,5.33,0.00,111.67,128.84,0.00,2.00,0.00,1.41
33.00,0.00,23.43,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,10.79,62.18,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,27.34,78.98,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,116.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,2.87,1.88,9.00,0.00,1.00,69.66,82.67,5.52,5.03,0.00,110.25,121.42,0.00,2.00,0.00,0.00
34.00,0.00,23.48,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,10.34,58.16,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,27.72,76.85,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,112.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,2.43,1.58,9.00,0.00,1.00,67.29,81.55,5.31,4.89,0.00,109.34,113.02,0.00,2.00,0.00,0.00
35.00,0.00,23.75,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,10.05,51.48,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.00,74.94,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,106.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,2.14,1.22,9.00,0.00,1.00,66.48,80.46,5.24,4.74,0.00,109.97,101.70,0.00,2.00,0.00,0.00
36.00,0.00,23.74,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.81,43.91,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.20,73.01,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,99.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.90,0.85,9.00,0.00,1.00,65.76,79.60,5.23,4.58,0.00,110.20,90.52,0.00,2.00,0.00,0.00
37.00,0.00,23.79,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.57,38.76,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.38,71.01,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,92.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.58,0.68,9.00,0.00,1.00,65.31,79.45,5.26,4.58,0.00,109.23,79.76,0.00,2.00,0.00,0.00
38.00,0.00,23.64,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.33,34.42,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.55,69.22,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,85.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.24,0.59,9.00,0.00,1.00,64.90,79.35,5.30,4.64,0.00,107.85,69.57,0.00,2.00,0.00,0.00
39.00,0.00,23.70,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.11,31.86,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.66,68.05,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,80.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.14,0.61,9.00,0.00,1.00,64.59,79.44,5.28,4.55,0.00,105.21,61.07,0.00,2.00,0.00,0.00
40.00,0.00,23.55,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,8.89,29.89,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.71,66.57,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,75.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.11,0.66,9.00,0.00,1.00,63.73,79.23,5.24,4.43,0.00,102.42,52.94,0.00,2.00,0.00,0.00
41.00,0.00,23.61,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,8.85,29.49,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.69,64.18,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,73.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.02,0.77,9.00,0.00,1.00,61.21,78.13,5.03,4.12,0.00,99.19,45.90,0.00,2.00,0.00,0.00
42.00,0.00,23.91,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,8.87,29.61,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.58,61.95,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,69.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.91,0.91,9.00,0.00,1.00,58.19,76.22,4.75,3.75,0.00,95.86,39.48,0.00,2.00,0.00,0.00
43.00,0.00,23.88,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.09,28.00,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.44,60.24,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,56.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.95,1.20,9.00,0.00,1.00,53.66,71.91,4.23,3.22,0.00,92.25,34.93,0.00,2.00,0.00,0.00
44.00,0.00,23.85,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.37,25.83,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,28.26,58.41,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,45.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.03,1.55,9.00,0.00,1.00,49.61,68.10,3.62,2.63,0.00,89.06,30.85,0.00,2.00,0.00,0.00
