"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
1.00,0.00,23.38,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,4.00,4.00,5.20,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,0.00,1.37,4.62,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,27.81,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,0.68,1.66,18.00,1.02,1.66,0.00,1.23,15.00,27.00,0.64,0.39,0.00,21.43,8.06,0.00,2.00,0.00
2.00,0.00,23.07,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,4.04,6.15,5.20,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,0.00,5.51,14.58,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,12.81,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,2.35,2.16,18.00,1.02,1.66,0.00,1.23,14.00,24.00,0.64,0.39,0.00,13.10,2.23,0.00,2.00,0.00
3.00,0.00,23.38,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,4.25,6.23,6.10,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,0.00,5.38,14.29,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,11.19,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,2.27,2.02,18.00,1.02,1.66,0.00,1.23,12.00,20.00,0.64,0.39,0.00,12.59,2.29,0.00,2.00,0.00
4.00,0.00,23.20,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,4.40,6.44,6.60,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,0.00,5.27,13.91,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,10.14,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,2.16,1.80,18.00,1.02,1.66,0.00,1.23,10.00,17.00,0.64,0.39,0.00,11.36,2.46,0.00,2.00,0.00
5.00,0.00,23.15,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,4.66,6.57,6.60,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,0.00,5.07,12.73,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,8.95,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,2.20,1.87,18.00,1.02,1.66,0.00,1.23,8.00,15.00,0.64,0.39,0.00,8.68,2.20,0.00,2.00,0.00
6.00,0.00,23.17,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,4.94,6.67,6.60,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,0.00,4.83,11.30,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,7.71,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,2.30,2.04,18.00,1.02,1.66,0.00,1.23,7.00,13.00,0.64,0.39,0.00,5.50,1.80,0.00,2.00,0.00
7.00,0.00,23.04,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,5.24,7.49,6.60,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,0.00,4.73,10.67,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,6.02,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,2.32,2.11,18.00,1.02,1.66,0.00,1.23,6.00,11.00,0.50,0.39,0.00,3.52,1.50,0.00,2.00,0.00
8.00,0.00,23.31,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,5.54,8.56,6.60,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,0.00,4.68,10.31,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,4.18,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,2.30,2.15,18.00,1.02,1.66,0.00,1.23,5.00,10.00,0.50,0.39,0.00,1.94,1.24,0.00,2.00,0.00
9.00,0.00,23.22,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,5.43,7.57,6.60,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,0.00,4.15,9.40,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,3.80,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,2.22,2.06,18.00,1.02,1.66,0.00,1.23,5.00,8.00,0.06,0.00,0.00,1.21,1.35,0.00,2.00,0.00
10.00,0.00,23.15,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,5.19,5.91,6.60,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,0.00,3.45,8.31,3.45,0.00,19.51,19.22,0.18,18.34,0.00,0.60,19.51,19.51,19.51,2.40,3.91,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,2.11,1.93,18.00,1.02,1.66,0.00,1.23,4.00,7.00,0.06,0.00,1.00,0.78,1.58,0.00,2.00,0.00
11.00,0.00,23.17,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,5.13,5.70,6.60,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,0.00,3.19,7.80,3.45,0.00,19.51,19.22,4.55,18.34,1.00,0.60,19.51,19.51,19.51,2.40,3.71,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,1.95,1.66,18.00,1.02,1.66,0.00,1.23,3.00,6.00,0.00,0.00,5.00,0.66,1.71,0.00,2.00,0.00
12.00,0.00,23.08,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,1.00,0.00,17.56,10.93,7.90,5.13,5.97,5.90,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,1.00,3.08,7.49,3.45,0.00,19.51,19.22,13.80,18.34,3.00,0.60,19.51,19.51,19.51,2.40,3.41,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,1.79,1.34,18.00,1.02,1.66,0.00,1.23,3.00,5.00,0.00,0.00,20.00,0.65,1.80,0.00,2.00,1.99
13.00,0.00,23.21,1.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,1.00,2.00,17.56,10.93,7.90,4.86,5.72,4.80,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,1.00,3.20,7.14,3.45,0.00,19.51,19.22,23.77,18.34,6.00,0.60,19.51,19.51,19.51,2.40,3.48,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,1.58,1.13,18.00,1.02,1.66,0.02,1.23,2.00,4.00,0.00,0.00,37.00,0.66,1.86,0.00,2.00,7.97
14.00,2.00,23.21,2.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,2.00,5.00,17.56,10.93,7.90,4.49,5.29,3.40,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,2.00,3.40,6.79,3.45,0.00,19.51,19.22,53.30,18.34,8.00,0.60,19.51,19.51,19.51,2.40,3.68,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,1.36,0.96,18.00,1.02,1.66,0.04,1.23,2.00,4.00,0.00,0.00,52.00,0.68,1.91,0.00,2.00,23.83
15.00,3.00,23.58,5.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,4.00,9.00,17.56,10.93,7.90,4.57,4.48,3.40,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,3.00,3.67,7.32,3.45,0.00,19.51,19.22,61.48,18.34,9.00,0.60,19.51,19.51,19.51,2.40,3.18,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,1.20,0.92,18.00,1.02,1.66,0.05,1.23,3.00,4.00,0.00,0.00,59.00,0.66,1.88,0.00,2.00,42.66
16.00,5.00,23.53,8.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,5.00,8.00,17.56,10.93,7.90,4.79,3.53,3.40,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,4.00,3.96,8.15,3.45,0.00,19.51,19.22,67.13,18.34,10.00,0.60,19.51,19.51,19.51,2.40,2.44,12.88,19.51,0.00,8.40,10.50,7.40,17.56,2.40,1.06,0.92,18.00,1.02,1.66,0.08,1.23,4.00,4.00,0.00,0.00,63.00,0.63,1.82,0.00,2.00,60.43
