"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASA GRANDE"
13.00,4.05,12.65,4.78,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,10.67,15.36,17.56,0.00,0.00,25.70,74.90,8.10,0.00,4.80,2.50,17.95,14.24,9.00,12.00,1.40,12.26,26.60,83.50,2.45,27.00,14.00,14.00,109.73,0.00,26.25,0.60,19.51,19.51,19.51,2.40,123.80,11.22,10.00,3.50,9.00,8.10,7.30,2.40,12.30,13.00,18.00,0.00,0.00,0.37,1.00,85.90,87.00,12.00,11.00,85.06,108.20,125.80,0.10,2.00,32.00,245.73,11.00,135.76,23.00
14.00,1.78,12.58,2.79,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,1.88,11.50,17.56,0.00,0.00,24.80,74.80,8.10,0.00,4.80,2.50,17.95,14.24,9.00,12.00,1.40,8.53,26.50,83.10,2.45,27.00,14.00,14.00,70.26,0.00,16.50,0.60,19.51,19.51,19.51,2.40,123.20,11.22,10.00,3.50,9.00,8.10,7.30,2.40,11.90,12.40,18.00,0.00,0.00,0.26,1.00,86.60,87.80,12.20,11.10,59.76,108.10,122.40,0.00,2.00,11.30,185.61,11.00,71.78,23.00
15.00,0.47,12.17,1.02,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,0.01,6.43,17.56,0.00,0.00,23.20,73.90,8.10,0.00,4.80,2.50,17.95,14.24,9.00,12.00,1.40,2.72,26.40,82.40,2.45,27.00,14.00,14.00,27.37,18.05,6.92,0.60,19.51,19.51,19.51,2.40,121.80,11.22,10.00,3.50,9.00,8.10,7.30,2.40,11.10,11.50,18.00,0.00,0.00,0.09,1.00,86.90,88.60,11.90,10.60,25.30,106.40,119.60,0.00,2.00,2.60,18.38,11.00,15.98,23.00
16.00,0.08,13.32,0.14,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,0.00,2.22,17.56,0.00,0.00,21.50,72.60,8.10,0.00,15.61,2.50,17.95,14.24,9.00,12.00,1.40,0.33,26.30,81.60,2.45,27.00,14.00,14.00,7.35,18.05,1.93,0.60,19.51,19.51,19.51,2.40,118.30,11.22,10.00,3.50,9.00,8.10,7.30,2.40,10.20,10.50,18.00,0.00,0.00,0.04,1.00,86.20,89.20,11.20,9.70,5.72,104.80,114.20,0.00,2.00,0.20,0.07,11.00,0.08,23.00
17.00,0.01,12.82,0.00,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,0.00,0.31,17.56,0.00,0.00,19.50,69.60,8.10,0.00,15.61,2.50,17.95,14.24,9.00,12.00,1.40,0.01,26.30,80.30,2.45,27.00,14.00,14.00,0.64,18.05,0.13,0.60,19.51,19.51,19.51,2.40,108.20,11.22,10.00,3.50,9.00,8.10,7.30,2.40,9.20,9.40,18.00,0.00,0.00,0.00,1.00,82.20,89.00,9.30,7.90,0.32,103.90,100.90,0.00,2.00,0.00,0.00,11.00,0.00,23.00
18.00,0.00,12.92,0.00,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,17.80,65.70,8.10,0.00,15.61,2.50,17.95,14.24,9.00,12.00,1.40,0.00,26.20,79.20,2.45,27.00,14.00,14.00,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,98.70,11.22,10.00,3.50,9.00,8.10,7.30,2.40,8.00,8.20,18.00,0.00,0.00,0.00,1.00,77.90,88.70,7.80,6.40,0.00,103.00,89.10,0.00,2.00,0.00,0.00,11.00,0.00,23.00
19.00,0.00,13.00,0.00,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,16.90,59.20,8.10,0.00,15.61,2.50,17.95,14.24,9.00,12.00,1.40,0.00,26.00,78.30,2.45,27.00,14.00,14.00,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,91.00,11.22,10.00,3.50,9.00,8.10,7.30,2.40,6.40,6.30,18.00,0.00,0.00,0.00,1.00,72.70,87.70,6.90,5.70,0.00,102.00,81.80,0.00,2.00,0.00,0.00,11.00,0.00,23.00
20.00,0.00,12.93,0.00,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,16.10,52.80,8.10,0.00,15.61,2.50,17.95,14.24,9.00,12.00,1.40,0.00,25.90,77.50,2.45,27.00,14.00,14.00,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,85.30,11.22,10.00,3.50,9.00,8.10,7.30,2.40,5.00,4.70,18.00,0.00,0.00,0.00,1.00,68.50,86.80,6.30,5.20,0.00,101.20,76.30,0.00,2.00,0.00,0.00,11.00,0.00,23.00
21.00,0.00,12.90,0.00,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,15.30,46.80,8.10,0.00,15.61,2.50,17.95,14.24,9.00,12.00,1.40,0.00,25.80,76.60,2.45,27.00,14.00,14.00,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,85.70,11.22,10.00,3.50,9.00,8.10,7.30,2.40,4.00,3.80,18.00,0.00,0.00,0.00,1.00,67.20,85.80,6.40,4.90,0.00,101.30,76.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
22.00,0.00,13.01,0.00,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,14.60,41.30,8.10,0.00,15.61,2.50,17.95,14.24,9.00,12.00,1.40,0.00,25.70,76.00,2.45,27.00,14.00,14.00,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,85.00,11.22,10.00,3.50,9.00,8.10,7.30,2.40,3.00,2.80,18.00,0.00,0.00,0.00,1.00,66.10,85.20,6.50,4.70,0.00,101.30,74.80,0.00,2.00,0.00,0.00,11.00,0.00,23.00
23.00,0.00,12.76,0.00,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,14.10,36.90,8.10,0.00,15.61,2.50,17.95,14.24,9.00,12.00,1.40,0.00,25.60,76.00,2.45,27.00,14.00,14.00,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,81.10,11.22,10.00,3.50,9.00,8.10,7.30,2.40,2.10,1.80,18.00,0.00,0.00,0.00,1.00,66.00,85.80,6.70,4.80,0.00,101.00,71.10,0.00,2.00,0.00,0.00,11.00,0.00,23.00
24.00,0.00,13.56,0.00,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,13.60,33.20,8.10,0.00,15.61,2.50,17.95,14.24,9.00,12.00,1.40,0.00,25.50,76.00,2.45,27.00,14.00,14.00,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,78.60,11.22,10.00,3.50,9.00,8.10,7.30,2.40,1.40,1.10,18.00,0.00,0.00,0.00,1.00,66.10,86.10,6.80,4.80,0.00,100.50,69.70,0.00,2.00,0.00,0.00,11.00,0.00,23.00
25.00,0.00,14.06,0.00,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,13.40,31.30,8.10,0.00,15.61,2.50,17.95,14.24,9.00,12.00,1.40,0.00,25.70,75.80,2.45,27.00,14.00,14.00,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,80.60,11.22,10.00,3.50,9.00,8.10,7.30,2.40,1.30,1.00,18.00,0.00,0.00,0.00,1.00,67.00,85.90,6.40,4.60,0.00,99.20,75.30,0.00,2.00,0.00,0.00,11.00,0.00,23.00
26.00,0.00,14.87,0.00,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,13.40,29.60,8.10,0.00,4.80,2.50,17.95,14.24,9.00,12.00,1.40,0.00,26.00,75.80,2.45,27.00,14.00,14.00,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,82.40,11.22,10.00,3.50,9.00,8.10,7.30,2.40,1.20,1.00,18.00,0.00,0.00,0.00,1.00,67.80,85.60,6.10,4.50,0.00,98.30,80.40,0.00,2.00,0.00,0.00,11.00,0.00,23.00
27.00,0.00,13.96,0.00,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,14.30,35.00,8.10,0.00,4.80,2.50,17.95,14.24,9.00,12.00,1.40,0.00,26.50,76.40,2.45,27.00,14.00,14.00,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,89.00,11.22,10.00,3.50,9.00,8.10,7.30,2.40,1.10,1.00,18.00,0.00,0.00,0.00,1.00,75.00,90.00,6.10,4.40,0.00,98.70,90.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
28.00,0.00,13.87,0.00,14.00,1.45,7.50,5.80,4.00,1.50,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,15.10,39.00,8.10,0.00,4.80,2.50,17.95,14.24,9.00,12.00,1.40,0.00,26.90,76.60,2.45,27.00,14.00,14.00,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,90.00,11.22,10.00,3.50,9.00,8.10,7.30,2.40,1.00,0.90,18.00,0.00,0.00,0.00,1.00,85.00,95.00,6.20,4.40,0.00,98.70,95.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
