"COSTO DE ARRANQUES TERMICOS :",9.567
"COSTO DE OPERACION TERMICAS :",1390.817
"COSTO DE OPERACION HIDROS :",58.968
"COSTO DE VERTIMIENTO EN HIDROS :",0.000
"COSTO DE VERTIMIENTO EN EMBALSES :",0.000
"COSTO DE RACIONAMIENTO (DEFICIT DE DEMANDA) :",0.000
"COSTO DE EXCESOS DE POTENCIA :",0.000
"COSTO DE RESERVA SECUNDARIA (UP) :",0.000
"COSTO DE RESERVA SECUNDARIA (DOWN) :",0.075
"COSTO DE DEFICIT DE RESERVA SECUNDARIA (UP) :",0.000
"COSTO DE DEFICIT DE RESERVA SECUNDARIA (DOWN) :",0.000
"COSTO DE DEFICIT POR REGION DE SEGURIDAD :",0.000
"COSTO DE EXCESO POR REGION DE SEGURIDAD :",0.000
"COSTO FUTURO :",0.000
"TIEMPO DE EJECUCION (seg) :","193"
