"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI"
1.00,0.00,22.42,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,6.00,14.00,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,1.59,4.52,2.20,27.10,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,6.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.10,16.45,18.90,0.00,0.00,0.00,1.00,0.66,0.82,0.00,0.00,0.00,13.99,5.00,0.00,1.38,0.00,0.00,0.00
2.00,0.00,22.96,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,4.90,13.93,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,1.67,4.59,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,5.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,8.53,12.67,18.90,0.00,0.00,0.00,1.00,22.19,41.09,0.45,0.38,0.00,12.48,5.00,0.00,1.37,0.00,0.00,0.00
3.00,0.00,23.19,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,5.50,12.60,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,1.82,4.93,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,4.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,8.26,12.54,18.90,0.00,0.00,0.00,1.00,23.15,44.12,0.50,0.38,0.00,13.84,4.00,0.00,1.35,0.00,0.00,0.00
4.00,0.00,23.28,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,6.11,11.66,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,2.05,5.56,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,4.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,8.01,12.44,18.90,0.00,0.00,0.00,1.00,24.74,46.75,0.58,0.40,0.00,15.84,4.00,0.00,1.34,0.00,0.00,0.00
5.00,0.00,23.07,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,6.65,12.26,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,2.28,6.22,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,4.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,7.94,12.48,18.90,0.00,0.00,0.00,1.00,25.17,47.84,0.63,0.43,0.00,17.49,3.00,0.00,1.35,0.00,0.00,0.00
6.00,0.00,22.90,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,7.16,13.37,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,2.53,6.92,2.20,27.10,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,3.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,7.93,12.56,18.90,0.00,0.00,0.00,1.00,25.21,48.43,0.67,0.47,0.00,19.01,2.00,0.00,1.34,0.00,0.00,0.00
7.00,0.00,22.96,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,7.62,14.42,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,2.89,7.77,2.20,27.10,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,3.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,7.67,12.33,18.90,0.00,0.00,0.00,1.00,24.72,48.12,0.66,0.49,0.00,21.06,2.00,0.00,1.32,0.00,0.00,0.00
8.00,0.00,22.73,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,8.05,15.45,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,3.36,8.78,2.20,27.10,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,4.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,7.33,12.00,18.90,0.00,0.00,0.00,1.00,24.04,47.52,0.63,0.50,0.00,23.28,2.00,0.00,1.31,0.00,0.00,0.00
9.00,0.00,22.95,0.00,14.00,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,8.68,16.27,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,3.91,10.20,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,5.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,7.32,11.87,18.90,0.00,0.00,0.00,1.00,21.83,45.02,0.61,0.48,0.00,26.17,2.00,0.00,1.30,0.00,0.00,0.00
10.00,0.00,22.73,0.00,14.00,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,9.37,17.03,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,4.51,12.03,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,7.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,7.42,11.79,18.90,0.00,0.00,0.00,1.00,19.11,41.88,0.60,0.45,0.00,29.29,2.00,0.00,1.29,0.00,0.00,0.00
11.00,0.00,23.09,0.00,14.00,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,10.39,18.40,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,5.11,13.65,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,8.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,7.63,11.81,18.90,0.00,0.00,0.00,1.00,16.18,36.70,0.57,0.39,0.00,32.28,2.00,0.00,1.26,0.00,0.00,0.00
12.00,0.00,22.82,0.00,14.00,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,11.50,19.98,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,5.71,15.07,2.20,27.30,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,8.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,7.87,11.87,18.90,0.00,0.00,0.00,1.00,13.17,30.84,0.52,0.32,0.00,35.24,3.00,0.00,1.26,0.00,0.00,0.00
13.00,3.12,22.88,0.47,14.00,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,0.83,0.34,9.00,0.00,10.00,13.38,21.14,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.73,6.39,16.84,2.20,27.30,14.56,19.11,8.01,17.96,0.00,0.60,5.00,5.50,5.50,1.20,8.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,8.32,12.17,18.90,0.00,0.00,0.03,1.00,10.91,26.31,0.66,0.41,5.59,37.71,3.00,0.00,1.24,4.37,9.44,0.00
14.00,8.18,22.77,2.60,14.00,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,1.25,2.90,9.00,0.00,10.00,15.50,22.17,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,4.34,7.16,18.96,2.20,27.40,14.56,19.11,35.89,17.96,0.00,0.60,5.00,5.50,5.50,1.20,9.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,8.84,12.55,18.90,0.00,0.00,0.07,1.00,8.89,22.21,0.87,0.56,27.43,40.01,3.00,0.00,1.20,22.56,38.31,0.00
