"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CS INTIPAMPA EXP","CTCASAGRANDE"
1.00,14.73,16.32,15.10,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,16.39,15.25,11.71,0.00,4.10,13.36,72.25,3.10,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,13.95,8.06,39.00,2.05,25.70,10.00,18.05,144.57,17.95,35.88,0.60,19.51,19.51,19.51,1.20,74.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,2.74,6.70,9.50,0.00,0.00,0.92,1.00,38.33,42.09,5.80,3.81,110.71,62.00,68.00,0.20,2.00,78.51,252.40,11.00,214.01,42.43,23.00
2.00,12.91,16.32,14.02,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,14.85,15.28,11.71,0.00,4.10,14.32,72.73,3.10,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,13.67,8.32,39.50,2.05,25.70,10.00,18.05,139.50,17.95,33.44,0.60,19.51,19.51,19.51,1.20,87.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,3.40,5.20,9.50,0.00,0.00,0.77,1.00,47.58,51.47,5.50,3.90,100.52,61.70,79.00,0.20,2.00,77.88,252.40,11.00,210.47,42.27,23.00
3.00,11.43,16.38,12.57,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,14.06,15.04,11.71,0.00,4.10,14.65,72.59,2.90,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,13.36,8.59,40.00,2.05,25.70,10.00,18.05,143.71,17.95,32.86,0.60,19.51,19.51,19.51,1.20,96.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,3.88,3.60,9.50,0.00,0.00,0.75,1.00,47.58,51.47,5.10,4.00,99.58,61.00,88.00,0.10,2.00,76.91,252.40,11.00,206.05,41.59,23.00
4.00,10.37,16.09,10.75,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,13.13,14.12,11.71,0.00,4.10,14.76,72.25,2.90,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,12.97,8.88,41.90,2.05,25.60,10.00,18.05,138.61,17.95,32.27,0.60,19.51,19.51,19.51,1.20,102.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,4.30,3.80,9.50,0.00,0.00,0.70,1.00,47.58,51.47,4.90,4.11,95.42,61.30,94.00,0.10,2.00,75.69,252.38,11.00,200.70,38.92,23.00
5.00,8.98,16.18,9.40,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,11.52,13.01,11.71,0.00,4.10,14.08,72.13,2.50,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,12.01,9.18,44.20,2.05,25.80,10.00,18.05,134.34,17.95,25.33,0.60,19.51,19.51,19.51,1.20,107.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,4.26,4.60,9.50,0.00,0.00,0.59,1.00,47.58,51.47,4.60,4.25,87.83,61.90,98.00,0.10,2.00,73.70,252.36,11.00,188.07,40.39,23.00
6.00,6.32,16.25,6.41,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,9.21,11.81,11.71,0.00,4.10,13.13,72.08,2.50,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,11.18,9.49,45.70,2.05,25.80,10.00,18.05,128.09,17.95,18.38,0.60,19.51,19.51,19.51,1.20,111.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,4.08,4.80,9.50,0.00,0.00,0.43,1.00,47.58,51.47,4.60,4.40,82.30,63.10,102.00,0.10,2.00,66.86,252.04,11.00,172.46,39.31,23.00
7.00,3.34,16.23,3.41,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,3.48,10.11,11.71,0.00,4.10,12.53,70.12,2.50,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,9.17,9.81,46.90,2.05,25.80,10.00,18.05,114.07,17.95,14.14,0.60,19.51,19.51,19.51,1.20,115.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,4.08,4.90,9.50,0.00,0.00,0.37,1.00,47.58,51.47,4.60,4.14,67.32,64.50,105.00,0.10,2.00,51.56,242.69,11.00,146.55,37.35,23.00
8.00,1.28,16.19,0.97,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,0.13,6.80,11.71,0.00,4.10,12.04,67.54,2.50,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,5.64,10.02,48.30,2.05,25.90,10.00,18.05,75.64,17.95,9.90,0.60,19.51,19.51,19.51,1.20,119.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,4.15,4.50,13.70,0.00,0.00,0.25,1.00,47.58,51.47,4.20,3.74,37.87,65.60,107.00,0.00,2.00,25.41,157.46,11.00,98.53,28.35,23.00
9.00,0.25,16.46,0.01,14.00,2.90,7.90,5.80,7.30,1.70,0.00,2.60,20.00,0.00,3.08,11.71,0.00,4.10,11.47,63.49,2.50,0.00,15.41,3.60,18.15,15.41,10.00,0.00,1.40,1.82,10.11,49.70,2.05,26.00,10.00,18.05,36.36,17.95,4.95,0.60,19.51,19.51,19.51,1.20,121.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,4.22,4.10,18.90,0.00,0.00,0.09,1.00,47.58,51.47,3.70,3.30,15.52,66.60,107.00,0.00,2.00,8.60,34.15,11.00,47.17,13.60,23.00
10.00,0.04,16.44,0.00,14.00,2.90,7.90,5.80,7.30,1.70,0.00,2.60,20.00,0.00,1.04,11.71,0.00,4.10,10.86,58.95,6.30,0.00,15.41,3.60,18.15,15.41,10.00,0.00,1.40,0.37,10.20,50.00,2.05,26.20,10.00,18.05,6.63,17.95,0.00,0.60,19.51,19.51,19.51,1.20,121.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,4.29,3.30,18.90,0.00,0.00,0.04,1.00,38.33,42.09,3.20,2.84,3.77,69.20,105.00,0.00,2.00,2.10,7.73,11.00,5.21,2.90,23.00
