"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2","CHARCATA"
1.00,78.57,29.98,0.00,650.00,211.66,2.18,2.29,110.48,9.61,3.79,41.90,0.00,80.82,7.30,3.92,164.07,112.47,88.74,47.08,171.88,22.25,6.88,87.77,0.00,6.39,9.98,95.55,10.52,19.79,228.68,200.88,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
2.00,78.57,29.98,0.00,650.00,211.66,2.18,2.29,110.48,9.61,3.79,41.90,0.00,80.82,7.30,3.92,164.07,112.47,88.74,47.08,171.88,22.25,6.88,87.77,0.00,6.39,9.98,92.21,10.52,19.79,228.68,200.88,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
3.00,78.57,29.98,0.00,650.00,211.66,2.18,2.29,110.48,9.61,3.79,41.90,0.00,80.82,7.30,3.92,164.07,112.47,88.74,47.08,171.88,22.25,6.88,87.77,0.00,6.39,9.98,86.91,10.52,19.79,228.68,200.88,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
4.00,78.57,29.98,0.00,650.00,211.66,2.18,2.29,110.48,9.61,3.79,41.90,0.00,75.97,7.30,3.92,164.07,112.47,88.74,47.08,171.88,22.25,6.88,87.77,0.00,6.39,9.98,58.88,10.52,19.79,228.68,200.88,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
5.00,78.57,29.98,0.00,650.00,211.66,2.18,2.29,110.48,9.61,3.79,41.90,0.00,72.44,7.30,3.92,164.07,112.47,88.74,47.08,171.88,22.25,6.88,87.77,0.00,6.39,9.98,52.15,10.52,19.79,228.68,200.88,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,75.00,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
6.00,78.57,29.98,0.00,650.00,211.66,2.18,2.29,110.48,9.61,3.79,41.90,0.00,55.50,7.30,3.92,164.07,112.47,88.74,47.08,171.88,22.25,6.88,87.77,0.00,6.39,9.98,45.33,10.52,19.79,228.68,200.88,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,75.00,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
7.00,78.57,29.98,0.00,650.00,211.66,2.18,2.29,110.48,9.61,3.79,41.90,0.00,40.91,7.30,3.92,164.07,112.47,88.74,47.08,171.88,22.25,6.88,87.77,0.00,6.39,9.98,45.33,10.52,19.79,228.68,200.88,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
8.00,78.57,29.98,0.00,650.00,211.66,2.18,2.29,110.48,9.61,3.79,41.90,0.00,58.43,7.30,3.92,164.07,112.47,88.74,47.08,171.88,22.25,6.88,87.77,0.00,6.39,9.98,45.33,10.52,19.79,228.68,200.88,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
9.00,78.57,29.98,0.00,650.00,211.66,2.18,2.29,110.48,9.61,3.79,41.90,0.00,79.19,7.30,3.92,164.07,112.47,88.74,47.08,171.88,22.25,6.88,87.77,0.00,6.39,9.98,53.25,10.52,19.79,228.68,200.88,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
10.00,78.57,29.98,0.00,650.00,211.66,2.18,2.29,110.48,9.61,3.79,41.90,0.00,99.05,7.30,3.92,164.07,112.47,88.74,47.08,171.88,22.25,6.88,87.77,0.00,6.39,9.98,85.96,10.52,19.79,228.68,200.88,67.57,67.16,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
